Date,Close,High,Low,Open,Volume,CP,GR,XL,PD,YP,CC,KI,KK,AT,AI,XC,SQ,OD,QA,BQ,AK,NI,AZ,YB,HP,LG,BK,MG,YJ,IF,EP,DX,BF,ZP,IU,RO,DH,AR,XA,DR,FZ,YU,CD,TP,PG,RB
2026-07-13,338.0,342.0,326.0,340.0,4337900,0.0203,-0.032,0.1791,0.0577,0.0207,-0.0356,-0.0018,-0.0014,0.0012,0.0166,0.0845,-0.0073,-0.0551,-0.0001,0.0017,-0.0588,-0.0066,-0.0,0.0,-0.0001,-0.26,0.006,0.0,0.0666,-0.0001,0.0,0.0,0.0,0.0033,0.0,-0.0079,0.0045,0.0,0.0066,0.0,-0.0021,0.0,0.0,0.0,0.0,0.0
2026-07-14,342.0,354.0,338.0,340.0,6141400,-0.0024,-0.0113,-0.2952,0.1345,-0.0025,0.1063,-0.0015,0.2425,-0.0769,-0.0006,-0.0808,-0.0051,-0.0256,-0.0037,0.0009,0.0474,0.0336,-0.1091,0.0034,-0.0003,0.051,0.0177,0.0035,-0.0373,-0.0,-0.0069,0.0052,0.0,-0.0121,0.0,-0.0074,-0.0035,0.0,-0.0001,0.0013,0.0,0.0,0.0206,0.0007,0.0063,0.0076
2026-07-15,346.0,356.0,338.0,344.0,6438900,-0.0075,-0.0342,-0.6837,0.0672,0.0266,0.1442,0.0,-0.0068,-0.0027,0.0474,0.005,-0.0009,0.0163,0.0004,-0.0014,0.012,0.3436,0.0027,0.0365,0.0,0.0156,-0.0185,0.0316,0.0,0.0,0.0001,0.0009,0.0,-0.0047,0.0017,0.0001,0.0025,0.0,0.0,-0.0012,0.007,0.0001,0.0,0.0,0.0,0.0
2026-07-16,338.0,350.0,324.0,350.0,7856300,0.0,0.0312,-0.2282,0.0129,0.1156,-0.312,0.0789,0.0202,0.0082,0.1736,0.029,0.0195,-0.0012,0.0005,0.0007,-0.2121,0.069,0.0058,0.0129,0.0027,0.0,0.0029,0.0155,0.0004,-0.0005,0.0008,0.0063,0.0337,0.0065,0.0017,0.0011,-0.0608,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,332.0,342.0,330.0,336.0,3073900,-0.0234,0.0104,0.2,-0.1036,0.0019,-0.032,0.002,-0.0007,-0.003,-0.0406,-0.0322,-0.0127,-0.0118,-0.0,0.0005,0.0548,-0.0169,-0.0336,0.0016,0.0006,0.0108,-0.0038,0.0318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,342.0,350.0,332.0,332.0,6474800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,344.0,354.0,332.0,342.0,10861500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,338.0,376.0,324.0,356.0,7960800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,334.0,350.0,330.0,338.0,6310500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,308.0,336.0,300.0,336.0,6112600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
