Date,Close,High,Low,Open,Volume,QA,DH,AK,MG,EP,XA,OD,GR,CP,BB,HD,CC,YP,AG,MI,IH,AT,PD,IF,XL,CD,TP,MU,LG,YB,KI,YJ,ID,RX,DX,ZP,SH,BK,YU,HP,DR,LS,ES,RO,SQ,NI,AZ,XC,BQ,KK,SS,KZ,AO,PP,AI,PI,DD,PC,RS,SF,AF,II,BR,RG,AR,FZ,PG,FS,RB,DU
2026-07-13,2450.0,2450.0,2330.0,2390.0,49509600,0.0083,-0.0668,6.4,0.0653,0.6766,-0.3028,-0.5087,-4.5,-0.0521,0.0,-0.3903,-0.394,4.4,7.4,0.0,0.1542,0.4112,-0.0553,0.18,-3.0,-0.0726,0.2889,-0.0484,4.6,0.9232,-0.6793,-0.1025,0.0,0.0,4.0,-6.0,0.0,8.4,-23.6,0.0,-1.7,-0.0204,0.243,0.0085,-3.5,-0.1971,5.7,-2.0,-0.5145,1.4,0.0005,0.0,-0.0471,0.0,2.6,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,0.012,-0.0185,-0.0732,0.0016,-0.0123,0.0,0.0,0.0
2026-07-14,2480.0,2490.0,2430.0,2450.0,44140800,0.0144,-0.5402,13.2,0.0272,-0.2199,-0.0386,-9.8,-0.4158,0.2086,1.0,0.22,-4.8,-7.7,-0.3085,0.0,-0.0707,-0.4976,-11.2,0.0323,-6.3,-0.0908,2.2,0.0,-2.9,-1.4,-0.0324,-0.1149,0.0,17.0,-0.2356,-2.8,0.0,1.8,7.3,0.0,-0.2437,0.0,0.0,0.0118,3.1,-1.2,6.1,-2.7,0.0,-0.3829,0.0,0.0,0.0735,0.0,0.09,0.0,0.0,0.0,-0.0253,0.0,0.0,1.8,-0.0712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,2480.0,2520.0,2450.0,2480.0,27021100,0.0,0.0303,-2.9,0.0572,-0.3176,-0.0276,-0.095,0.0228,0.0012,0.0,-0.1241,4.1,1.4,0.0,0.0,0.0,0.2132,-0.8995,-2.3,-0.326,0.0177,-0.0621,0.0,-0.2619,0.0,0.2485,-0.1223,0.0,-0.8134,-0.0271,-0.8159,0.0,5.6,-3.5,-0.0625,-0.0967,0.0,0.2508,0.0,-2.3,10.6,-5.7,0.5669,-0.252,-0.1216,0.186,0.0,0.0,0.0,-1.9,0.0,0.0,-0.139,-0.0251,0.0013,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,2510.0,2520.0,2440.0,2480.0,33388600,0.0018,0.8733,10.8,0.5784,0.0,-0.1525,-0.872,-0.3163,-0.1709,13.0,-0.0692,11.8,-6.2,-0.4297,-0.0501,0.0074,-0.2279,-5.6,0.3364,-6.2,0.0,-0.073,0.0,0.2428,0.0,-0.547,-0.0637,0.0,-2.0,1.3,-2.1,0.0099,4.9,-5.2,0.0,-0.9644,0.2483,0.0043,0.0,-6.6,5.3,-6.8,-4.3,0.0,-0.5518,-0.05,-0.0743,0.0025,0.2201,0.3888,0.0049,-0.1381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,2490.0,2520.0,2490.0,2510.0,19140100,0.0145,-0.2712,-5.4,-0.6036,-0.0258,0.1239,0.0264,-0.246,-1.7,0.4663,-0.0618,1.4,1.1,0.0031,-0.2742,-0.0075,0.0162,-0.4855,0.005,1.5,-0.0003,1.4,0.0037,1.3,0.0689,-0.0321,0.055,-0.119,0.6746,0.7602,0.251,-0.0013,-1.9,1.1,0.0419,1.2,-0.4508,0.2635,0.0137,0.8319,0.4038,-0.9931,-0.0751,-0.0515,-0.3584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2570.0,2570.0,2500.0,2500.0,34882400,0.0,-0.7032,35.2,-1.4,-1.5,-0.411,-0.3053,-0.398,-0.2121,-9.4,-0.1807,3.6,-1.4,1.3,-0.1275,0.0,-0.3543,-2.2,0.6115,-9.7,0.0301,0.0,0.0,-0.3997,0.1161,0.0,-0.5281,0.0,0.0,-0.8547,-1.3,0.0,0.1362,0.0,0.0,0.5919,-0.3574,0.0,0.0,-1.8,-0.2404,-1.7,-2.8,-0.7017,-2.3,0.0,0.1901,0.0,0.0,0.0,0.0,0.0,0.001,0.0812,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,0.0,0.0,0.0
2026-07-21,2540.0,2580.0,2540.0,2570.0,24607700,0.0,0.4613,-1.2,0.0047,-0.2271,-0.0024,-0.8549,-0.231,0.0911,0.0792,-0.2747,3.3,0.7949,0.0,0.0,0.0178,-0.0143,0.2133,-0.0302,2.4,-0.0066,-0.0681,0.0003,-0.4668,-0.0452,-0.0472,-0.0121,0.0,0.0,-1.8,-0.4827,0.0,4.5,-10.6,-0.0043,1.4,0.0015,-0.0765,0.0134,-0.1982,0.8652,-0.1744,2.3,0.6381,-0.5737,0.051,0.0,-0.0061,0.0,-0.0074,0.0,0.0762,-0.0246,0.0255,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.1913,0.0,0.0079
2026-07-22,2580.0,2590.0,2550.0,2550.0,27705800,0.0,-0.5801,11.3,0.0,-0.3405,-0.3188,0.1863,-0.4633,-0.0639,0.363,-2.0,-1.7,-2.6,0.0,0.0,0.0,0.1283,-0.7115,-0.5156,-9.7,0.009,9.4,0.0,-0.1881,-0.1554,-0.3472,-0.1706,0.0,0.0,-0.1892,0.3769,0.0,7.8,-7.5,2.6,-0.4903,0.0829,-0.257,0.0,0.0575,1.1,-0.3074,-4.0,-0.2379,-0.0978,-0.129,0.2056,0.0,0.0,0.0,0.0,0.0,0.0,0.0256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1928,0.0,0.0
2026-07-23,2540.0,2590.0,2530.0,2580.0,49787900,0.0,-3.8,-3.5,0.7363,-0.2474,0.0469,0.5817,-0.1005,0.1356,1.3,0.5476,8.5,3.4,2.1,0.023,0.0,0.1035,1.0,-0.9647,5.6,-0.0262,1.6,-0.0003,-1.1,-0.1171,-0.1052,0.0259,0.0,0.0,2.5,1.6,-0.0028,8.1,-0.9489,-0.6362,-3.5,0.6271,-0.0256,0.0981,-2.4,-24.4,0.227,2.1,0.1382,0.3704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,-0.0003,0.0
2026-07-24,2540.0,2570.0,2510.0,2530.0,30999300,0.0,0.0,13.6,-0.2776,-0.2419,-0.3922,-0.5085,-0.7335,-0.1912,0.1508,1.6,-0.752,-2.8,0.0765,0.0,0.0025,-0.1275,-0.9513,-0.4146,-5.4,0.0,0.2145,-0.1417,0.2307,-0.0925,5.0,0.0216,0.0,0.0,7.0,-6.0,0.0,3.6,2.4,-0.0207,-1.7,0.0,0.0,0.0132,-1.6,-3.7,-2.1,-1.6,-0.0193,-0.1315,0.0,0.208,0.0008,0.0,0.0,0.0,0.0756,0.0,-4.0,0.001,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,-0.2056,0.0,0.0
