Date,Close,High,Low,Open,Volume,XC,YU,LG,XA,AZ,AT,AK,EP,YP,DH,CC,YB,NI,BQ,IU,PD,QA,SQ,YJ,KK,CP,ZP,KI,OD,BK,AI,XL,DX,AG,MG,ID,TP,IF,AO,GR,HP,RO,DR,PC,GI,CD
2026-07-13,163.0,185.0,154.0,156.0,31016900,-0.1726,0.0,0.0024,0.001,0.0317,-0.0155,-0.0958,-0.0166,0.0698,-0.0022,-0.4559,0.0007,-0.0313,-0.0117,-0.0135,-0.0426,-0.0179,-0.0066,0.0,-0.0008,1.4,0.0,-0.0051,0.0156,0.244,0.0,-1.0,0.0,0.0,0.114,0.0,0.0107,0.0,0.0003,-0.0023,-0.0122,0.1049,-0.0018,0.0,-0.0001,-0.071
2026-07-14,161.0,186.0,161.0,166.0,43975800,-0.021,0.0,-0.073,0.0012,0.2833,0.8828,0.2648,-0.0051,0.1114,0.0082,-0.45,-0.0722,-0.0213,-0.0042,-0.3397,-0.0704,0.0,-0.0097,0.0,0.8206,-1.5,0.0012,-0.1214,0.0004,-0.2161,0.0,0.0449,0.0007,0.0021,-0.0248,-0.0056,-0.0038,0.0168,0.0,0.0547,-0.0238,0.4794,-0.001,-0.0,0.0,0.0
2026-07-15,165.0,172.0,157.0,160.0,19432700,0.0108,-0.0374,-0.0281,-0.0027,0.4243,0.0944,0.3132,-0.0035,0.0338,0.0015,0.4409,0.0,-0.0004,-0.0151,0.0847,0.039,0.0,0.0077,-0.0,0.1109,-1.6,0.0186,-0.0001,0.0034,0.0137,0.0,0.0231,0.0,0.0003,0.0484,-0.0032,0.0,0.049,0.0,0.0134,-0.0063,0.0002,0.0006,0.0,0.0,0.0
2026-07-16,181.0,181.0,164.0,167.0,20615200,-0.0569,-0.047,0.0107,0.1389,0.0586,-0.0012,0.8922,0.0005,-0.1532,-0.0024,0.3101,0.1991,-0.0182,0.0044,0.3093,-0.0857,200.0,-0.0202,0.0,0.0279,-0.0349,0.0242,-0.0,-0.054,0.0092,0.0,-1.7,0.0,-0.0025,0.0082,-0.0036,-0.0035,0.0669,0.0,-0.036,-0.0004,0.1872,-0.0,0.0,0.0,0.0
2026-07-17,216.0,224.0,179.0,183.0,106224400,-0.2135,-0.2885,-0.25,0.0284,-0.4487,0.0004,0.4731,-0.0171,-0.5934,-0.0151,-2.4,0.5548,-0.0493,-0.0346,0.915,-0.1315,-0.0015,-0.1365,1.5,0.0655,0.1534,-0.0128,-0.0592,-0.0252,0.0986,-0.0064,-1.2,-0.0009,-0.0001,-0.0068,-0.0044,0.0357,1.6,0.0006,-0.0178,-0.0036,0.6189,-0.0932,0.0,0.0,0.0
2026-07-20,204.0,218.0,192.0,216.0,35371500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,191.0,224.0,184.0,200.0,63351900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,192.0,195.0,184.0,191.0,10625700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,174.0,208.0,164.0,193.0,71289200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,177.0,179.0,169.0,174.0,15981800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
