Date,Close,High,Low,Open,Volume,XC,QA,YU,AZ,XA,KK,AT,OD,DX,EP,XL,YP,DH,CC,FZ,NI,BQ,IF,GR,PD,FS,HD,RO,DR,SQ,YJ,LG,CP,ZP,KI,AG,IN,CD,AI,BK
2026-07-13,264.0,268.0,256.0,262.0,580400,-0.0009,-0.0002,-0.0005,0.0,0.0015,0.0079,0.0,-0.0045,0.0,0.0052,0.0261,0.0128,0.0001,-0.0225,0.0026,0.0131,0.0,0.0,0.0001,-0.0446,0.0,-0.0005,0.0,0.0001,0.0016,0.0,0.0002,0.0047,-0.0024,0.0,-0.0001,0.0,0.0,0.0,-0.0001
2026-07-14,268.0,274.0,262.0,264.0,783400,-0.0002,-0.0001,0.0,0.0,0.0011,-0.0177,-0.0821,0.0012,0.0,-0.0024,0.0022,0.0009,0.0012,-0.0104,-0.0027,0.0032,0.0002,-0.0,0.0,-0.0212,0.0,-0.0,-0.0,0.0094,0.1216,-0.0001,-0.0007,0.0,-0.0041,0.0,-0.0001,0.0,0.0,0.0005,0.0
2026-07-15,272.0,276.0,264.0,270.0,732800,-0.0019,0.0001,-0.0003,-0.0001,0.0,0.0047,-0.019,-0.0001,0.0,0.0,0.0316,0.0078,0.0001,-0.0034,0.0,0.0122,-0.0002,0.0,0.0,0.0327,0.0,-0.0,0.0006,-0.0525,-0.0027,-0.0001,0.0002,0.0022,-0.0004,0.0,-0.0,-0.0122,0.0006,0.0,0.0
2026-07-16,278.0,286.0,270.0,274.0,3935200,-0.0014,-0.0003,0.0008,0.0,0.0014,-0.0033,0.0278,-0.0059,0.0,-0.0008,-0.0911,-0.106,0.0,-0.0359,0.0,0.0003,0.0,0.0,-0.0028,0.8625,0.0,0.0001,0.0,0.0,0.0136,-0.0001,-0.0001,-0.0064,-0.662,0.0096,0.0,0.0,0.0,0.0,0.0
2026-07-17,278.0,282.0,276.0,278.0,506500,0.0009,0.0001,0.0,0.003,0.0014,-0.0103,0.0,0.0051,0.0001,0.0,0.0121,0.0018,0.0,-0.0128,0.0001,0.0025,0.0001,-0.0,-0.0003,-0.0123,0.0001,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,278.0,282.0,276.0,278.0,705900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,280.0,284.0,278.0,280.0,1466500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,278.0,284.0,278.0,282.0,573100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,284.0,286.0,276.0,278.0,681700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,276.0,284.0,270.0,284.0,1123600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
