Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,YB,PG,QA,SH,DR,SQ,YP,DX,HP,XC,LG,KK,XL,YJ,AI,DH,AZ,IF,MG,AF,LS,CP,BK,YU,AK,AT,ZP,TP,EP,CD,DD,SF,IU,PD,BQ,AG,GR,CC,AO,FZ,PC,RO,GI,IN,ZR,DP,KI,ID,FS,BR,IH,PO,SS,ES,RG,JB,MU,TF
2026-07-13,63.0,63.0,60.0,62.0,99934200,0.052,0.0084,-0.1837,-0.1293,-0.2066,0.0,0.0,-0.0,-0.1851,-0.0206,0.0849,0.0604,0.0013,0.1126,0.0875,0.01,-0.2844,0.0519,-0.0244,0.0126,0.1105,-0.4576,-0.1232,0.0,0.0,0.5281,0.0605,-0.0413,0.2089,0.0,-0.0562,0.012,-0.0474,-0.0124,0.0,-0.0,0.0,-0.0023,0.1087,-0.0001,0.0195,0.2485,-0.0003,0.0002,-0.0024,-0.0003,-0.0,0.0,0.0,-0.002,0.0057,0.0,0.0012,0.0,-0.0044,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,64.0,64.0,61.0,63.0,102264200,-0.0219,-0.0094,-0.1231,-0.2486,0.0128,-0.0003,-0.0002,0.0,-0.1237,-0.1821,-0.2578,0.0117,-0.0005,-0.0667,-0.6017,-0.2712,-0.1438,-0.1275,0.0,0.0393,-0.1227,-0.3346,-0.0252,0.0,0.0,0.1184,0.0,-0.0131,1.4,0.0236,0.2844,0.0003,-0.0254,0.0009,0.0,0.0501,0.0,-0.0884,-0.0632,0.0001,0.1037,0.7808,0.0499,-0.0018,0.0001,-0.0,0.0,0.0,0.0,-0.0,0.0022,0.0003,0.0189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,65.0,66.0,63.0,64.0,242513800,-0.0487,0.0235,0.0296,-0.0241,-0.1452,-0.0002,0.0,0.0065,0.147,0.0564,0.8727,-0.0172,0.0244,0.2167,0.1151,0.0778,1.1,-0.2639,0.0132,0.1689,-0.1358,0.0292,0.2248,0.0,0.0,-0.3434,0.0,-0.0212,-1.1,0.0634,0.0262,0.1255,0.2067,-0.0132,0.0096,-0.0001,0.0,0.1671,-0.025,0.0077,0.0076,-1.6,0.0,0.0299,-0.0001,0.0,-0.0,0.0,0.0,0.0,-0.0072,-0.0003,0.0131,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,65.0,67.0,63.0,65.0,150203600,-0.0468,0.0216,-0.0317,-0.0817,0.1683,0.0,0.0027,0.0,-0.0413,-0.2507,-0.9018,0.0,0.01,0.1211,-0.0476,-0.0157,-1.1,-0.0333,-0.0636,0.0609,0.1214,0.0022,-0.2122,0.0,-0.0088,-0.222,0.047,-0.1017,1.4,-0.0436,0.381,-0.0023,0.0106,0.0126,0.0,-0.065,-0.0015,0.0473,-0.02,0.0,0.3318,0.5636,0.0,-0.0005,0.0,0.0003,0.002,-0.0007,-0.001,-0.002,-0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,67.0,68.0,64.0,66.0,139037700,-0.04,-0.0129,-0.0041,0.0115,-0.0195,0.0022,-0.0043,-0.0335,0.0572,-0.0173,2.0,-0.0922,0.014,-0.0042,-0.0129,0.071,-0.925,-0.5982,0.0201,-0.1062,0.0036,-0.015,0.0568,0.0026,-0.0678,-0.0819,0.3313,-0.0156,-0.0693,0.0344,0.1088,0.0039,-0.0295,-0.0182,0.0098,0.0002,-0.099,-0.3404,-0.0145,0.0074,-0.103,0.0362,0.0007,-0.0255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,69.0,69.0,67.0,68.0,181113000,-0.0637,0.0171,-0.0229,-0.2048,0.0026,0.0,0.0059,1.0,0.1083,-0.0543,-0.478,-0.0097,0.0021,0.4858,-0.0072,-0.0945,1.7,-0.2949,0.0,-0.3209,-0.0309,-0.0078,-0.1531,0.0,0.032,-0.215,0.0331,0.0011,-0.5841,0.0149,-0.03,-0.0272,0.0049,-0.0207,0.0136,-0.0563,0.0,0.0543,-0.1965,-0.0041,0.0916,-0.5714,-0.1091,0.01,0.0026,0.0184,0.0,0.1826,0.0,0.0,-0.2378,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0068,0.0,0.0
2026-07-21,72.0,72.0,68.0,69.0,243322900,-0.2051,-0.0256,0.0025,-0.2262,0.042,0.206,-0.0038,-0.007,0.0906,0.4211,-1.1,-0.0176,0.0212,-0.6227,0.0813,0.0493,-1.5,-0.9709,0.0315,-0.0399,-0.2964,0.3506,0.6595,0.036,-0.0861,1.2,-0.313,-0.0231,0.014,-0.0221,0.8099,0.0278,-0.0077,-0.0119,0.0,0.0213,0.0628,-0.2746,-0.0029,0.0434,-0.2968,1.9,0.0118,-0.0229,-0.0027,0.0007,0.0,0.0,0.0,0.0,-0.0269,0.0,-0.0049,0.0,0.0,0.0036,0.0,0.0001,0.0,0.0007,0.0,0.0
2026-07-22,71.0,73.0,68.0,72.0,245832200,0.1707,-0.0054,0.0304,0.0562,0.1645,0.0,-0.0006,0.0071,-0.2065,0.2315,0.21,-0.0035,0.0,0.5041,0.3801,-0.0988,1.5,0.5403,0.0245,0.0479,-0.3132,-0.3731,-0.5941,0.0,-0.0001,0.516,-0.172,-0.0103,-1.3,-0.023,-1.0,-0.0459,0.0656,0.0044,0.0,0.1049,0.0,0.055,0.1421,0.0326,0.0598,-0.7692,0.035,0.0,0.021,-0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
2026-07-23,72.0,75.0,70.0,71.0,304217200,-0.3092,0.0236,0.0,0.031,-0.1314,-0.0075,0.0053,0.0,-0.0332,0.1265,0.7111,0.0052,-0.0216,0.4348,-0.1121,-0.0131,-1.3,0.1876,-0.0153,-0.085,0.0185,0.1239,0.132,0.0,-0.0161,-0.2314,-0.1486,-0.1028,1.8,-0.0134,0.1283,-0.0479,-0.0927,-0.0146,0.0,0.0506,-0.111,-0.1801,0.0477,-0.0495,-0.128,-0.7802,0.2341,-0.039,0.0,0.0,0.0002,0.0,0.0004,0.0,0.0168,0.0,-0.1042,0.0,0.0,0.0,0.0,0.0,0.0048,0.0008,0.0,0.0
2026-07-24,69.0,72.0,67.0,72.0,198547800,0.1718,0.0138,0.0,0.0964,-0.2372,0.0,0.0,0.0,0.0399,0.2949,1.2,0.0,-0.0874,0.2662,0.0505,0.0343,0.6657,0.0,0.0311,0.0457,0.2671,0.1388,0.0846,0.0,0.0,0.3396,0.0,0.0242,-1.3,0.0721,-0.0445,0.0134,-0.0115,0.017,0.0,0.0,0.07,0.2087,0.221,-0.0138,0.0236,-2.7,-0.0417,0.0,0.0,0.0,0.0,0.0,0.0,-0.0062,-0.0205,0.0,0.0,0.0,0.0,0.0,0.0136,-0.0017,0.0,0.0,0.0,0.0
