Date,Close,High,Low,Open,Volume,XC,SQ,KK,BQ,NI,PC,KI,PD,EP,OD,XL,YP,CC,RO,RF,CP,AO,GR,AZ,ZP,DH,SF,YB,MU,DR,QA,AT,MG,YU,LG,XA,IF,IU
2026-07-13,117.0,123.0,103.0,123.0,6158500,-0.0128,-0.0007,0.0057,-0.0013,-0.0034,0.0,0.0004,0.0746,-0.001,-0.0005,-0.0969,0.0082,-0.0095,0.0115,0.0,0.092,0.0,0.0001,-0.0001,0.0,-0.0034,0.0,0.0032,0.0,0.0081,0.0003,-0.001,-0.0046,-0.0073,-0.0444,0.0006,-0.0,-0.0178
2026-07-14,119.0,123.0,111.0,117.0,2130500,-0.035,0.0,0.0035,0.0004,0.0048,0.0,0.0,0.0118,0.0,-0.0039,-0.0094,0.0475,-0.0152,-0.008,0.0289,-0.0,-0.0189,-0.0003,0.0,0.0005,0.0,0.0,0.0,0.0,-0.0072,-0.0001,-100.0,0.0004,0.0,0.0,0.0,0.0,0.0
2026-07-15,118.0,122.0,111.0,119.0,1432300,-0.0017,-0.0089,0.0016,0.0,-900.0,0.0,-0.007,-0.0115,-0.0001,-0.0051,-0.0647,0.0975,-0.0069,-0.0027,0.0,0.0,0.0004,0.0,-0.0001,0.011,0.0001,-0.0001,-0.0004,-0.0001,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,114.0,121.0,112.0,112.0,1162400,-0.1,0.0,-0.0012,-0.0,-0.0002,0.0,0.0,0.0245,0.0,0.0023,-0.0008,-0.0,0.0001,0.0,0.0763,-0.0,-0.0022,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,118.0,124.0,113.0,114.0,1388300,-0.0213,0.0049,-0.0,-0.0001,-0.0,-0.0,-0.0001,0.0064,0.0004,-0.0286,-0.0001,0.0385,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,120.0,122.0,118.0,118.0,1118600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,121.0,126.0,119.0,119.0,289300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,117.0,124.0,116.0,120.0,966600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,118.0,123.0,112.0,117.0,711800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,115.0,117.0,113.0,117.0,130300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
