Date,Close,High,Low,Open,Volume,XC,QA,SQ,LG,AZ,XA,KK,CP,AT,AK,EP,OD,XL,SH,YP,DH,CC,DX,SF,TP,YB,NI,IF,BQ,IU,GR,PD,DR,RO,ZP,AI,AG,MG,HP,HD,KI,BK,AO
2026-07-13,100.0,102.0,98.0,101.0,12235300,0.0193,-0.0004,-0.0018,0.0,-0.061,-0.0177,-0.0311,0.17,-0.0075,0.0198,-0.0058,-0.0042,-0.0517,0.0,0.0007,-0.0026,0.0382,0.0,0.0,-0.0337,-0.003,-0.0001,0.0,0.0022,0.0034,0.0023,-0.026,0.0005,0.0,-0.025,0.0,0.0,0.0034,-0.0,0.0,0.0,0.0113,0.0004
2026-07-14,100.0,102.0,100.0,101.0,7749300,-0.0222,0.0,0.0005,-0.0011,0.0001,0.0,-0.0438,0.0044,-0.0001,0.0036,-0.0076,-0.0104,-0.1345,0.0025,-0.0134,0.0,0.2674,0.0017,-0.0003,-0.0003,-0.0028,-0.0266,0.0,0.0195,0.0016,-0.0005,0.0133,-0.0005,0.0,-0.0029,0.003,0.0,-0.0202,-0.0001,0.0,-0.0,-0.005,-0.0253
2026-07-15,101.0,111.0,100.0,101.0,71134600,0.0148,0.0028,0.0274,0.0112,0.0035,0.0066,-0.0332,-0.2085,0.0,-0.0305,0.0104,-0.0291,0.4492,-0.009,0.1359,-0.0,-0.655,-0.0017,0.0003,0.021,0.0111,0.1358,-0.0,0.005,0.0149,0.0466,0.048,-0.0305,-0.0092,0.0199,0.0082,0.0209,-0.0005,0.0195,0.0,0.0006,-0.0064,0.0
2026-07-16,101.0,103.0,99.0,101.0,14062600,0.0238,0.0,-0.0118,0.0006,0.0,0.179,0.0055,0.0688,0.0,0.0079,-0.0099,0.0098,-0.2731,0.004,-0.0108,0.0066,0.1299,0.0,0.0001,0.0,0.0221,-0.0025,-0.0002,0.003,0.0094,0.002,0.0209,0.0052,0.001,0.01,0.0167,-0.0202,0.0011,-0.0189,-0.18,0.0,0.0,0.0
2026-07-17,100.0,103.0,99.0,102.0,9580100,0.0109,0.0057,0.0003,0.0004,0.0001,-0.0013,0.0015,0.0541,-0.0004,0.0073,0.0052,-0.0097,-0.1262,0.0032,0.0015,0.0,0.0835,-0.0031,-0.0004,-0.0002,0.0,0.0099,0.0,-0.0211,-0.0108,-0.0485,0.0323,0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,103.0,104.0,100.0,100.0,14495200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,105.0,105.0,101.0,103.0,15217100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,105.0,106.0,103.0,105.0,14230100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,105.0,109.0,103.0,105.0,32117000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,100.0,105.0,97.0,105.0,14421300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
