Date,Close,High,Low,Open,Volume,TP,NI,DH,CC,PD,OD,BQ,SQ,YP,KK,XC,LG,HD,XL,CP,AI,EP,XA,AZ,MG,DX,AT,YB,QA,DR,YJ,AG
2026-07-13,79.0,83.0,77.0,79.0,1293900,0.0,-0.022,0.0,0.0068,0.0112,0.0032,0.0028,0.001,0.0077,0.0087,0.0058,0.0023,-0.0,-0.0017,-0.0001,0.0,-0.0296,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,0.0018,0.0,0.0
2026-07-14,78.0,83.0,76.0,79.0,3734700,-0.0001,0.0077,0.0,-0.0033,-0.0061,-0.0062,0.0131,0.0159,0.0078,0.001,0.0018,0.0,-0.0,-0.0417,-0.0027,0.0,0.001,0.0076,0.0,0.0014,0.0,0.0,-0.0002,-0.0028,0.0036,0.0023,-0.0001
2026-07-15,78.0,79.0,77.0,79.0,225100,0.0,-0.001,0.0008,-0.0001,0.0,0.0,0.0,-0.0005,-0.0008,-0.0001,0.0001,0.0,-0.0,-0.0053,0.0002,0.0001,0.0016,0.0,0.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,79.0,79.0,77.0,78.0,1214100,0.0,0.0001,0.0009,-0.009,0.0,0.0,0.0,-0.0005,0.0,0.0019,0.0002,0.0,0.0781,0.0101,-0.0013,0.0001,0.0,-0.078,0.0005,-0.0024,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,79.0,80.0,78.0,79.0,533700,0.0,-0.0001,-0.0,-0.0017,-0.0004,0.0,0.0004,-0.0074,0.0078,-0.0072,-0.0017,0.0002,-0.0001,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,83.0,92.0,79.0,79.0,6367100,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,82.0,84.0,82.0,84.0,1683300,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,82.0,83.0,81.0,82.0,345000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,82.0,83.0,81.0,81.0,681700,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,82.0,82.0,80.0,82.0,231900,,,,,,,,,,,,,,,,,,,,,,,,,,,
