Date,Close,High,Low,Open,Volume,ZR,CP,GR,XL,CC,YP,KK,AT,SF,XC,AZ,HP,BK,MG,YJ,PD,DR,XA,EP,AG,AI,SQ,OD,QA,BQ,AK,NI,YU,YB,ZP,LG,HD,RO,DH,IF,FZ,IH,KI,AO,MU,TP
2026-07-13,190.0,192.0,186.0,191.0,4456100,0.0,0.0007,0.0012,-0.2104,0.2603,-0.0635,-0.0007,-0.0191,0.0,0.0058,0.0014,0.0,0.0057,-0.0001,0.0,-0.0576,0.0,-0.0,-0.0007,0.0,-0.0094,-0.2342,0.2286,-0.0001,-0.0019,0.0477,0.0,0.05,-0.0027,-0.0011,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,194.0,202.0,193.0,200.0,11103700,0.0,0.4418,-0.0012,-0.3921,0.5205,-0.0119,-0.0009,0.0,0.0,-0.0593,-0.0053,0.0,-0.0056,-0.0307,-0.0287,-0.0016,0.0,0.0103,-0.0004,0.0,0.0199,0.0003,-0.0656,0.0011,0.0009,-0.0116,-0.0031,-0.3526,-0.0209,0.0,0.0,0.0095,-0.0003,0.002,-0.0091,0.0002,0.0,0.0,-0.0041,-0.0019,0.0006
2026-07-15,194.0,198.0,193.0,196.0,5470100,0.0099,0.0001,0.0,-0.3064,0.2425,-0.0474,-0.0012,-100.0,-0.0195,0.0328,0.0005,0.0023,0.0005,0.0662,0.0,-0.0208,0.0,-0.0,-0.0211,0.0001,0.0,-0.0,-0.0015,0.0,-0.0005,-0.0449,0.0243,-0.0038,0.0001,0.0965,-0.0016,-0.0047,-0.0002,-0.0021,0.0,0.0,0.0,0.0019,-0.0019,0.0,0.0
2026-07-16,193.0,196.0,192.0,194.0,2128900,0.0,-0.0049,0.0,-0.1295,0.1066,0.045,-0.0,0.0,0.0,-0.0225,0.0136,-0.0023,0.0,0.0002,0.0,-0.0226,0.0,0.0,0.0,-0.0097,0.0,0.0015,-0.0015,0.0002,0.0045,-0.0023,-0.0241,0.0155,0.0015,0.0,0.0,-0.0049,0.0001,0.0955,-0.0578,-0.0002,-0.0019,0.0,0.0,0.0,0.0
2026-07-17,199.0,200.0,193.0,193.0,6974900,-0.0099,-0.1356,0.0018,-0.1683,0.1703,-0.0674,-0.0002,0.0008,0.0783,-0.0147,0.0556,-0.0,-0.0014,0.0804,-0.0199,0.0184,-0.0068,0.0555,-0.0111,-0.0001,-0.01,-0.0026,-0.003,-0.0013,0.0198,0.1055,-0.0038,-0.0873,-0.001,-0.0003,-0.0175,-0.0248,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,198.0,202.0,195.0,199.0,7458200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,216.0,224.0,202.0,202.0,28808700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,216.0,220.0,210.0,216.0,13027700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,216.0,226.0,214.0,218.0,10879000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,208.0,216.0,204.0,214.0,8471900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
