Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor
2026-07-13,123.0,123.0,123.0,123.0,0,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer
2026-07-14,123.0,123.0,123.0,123.0,0,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer
2026-07-15,123.0,123.0,123.0,123.0,0,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer
2026-07-16,123.0,123.0,123.0,123.0,0,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer
2026-07-17,123.0,123.0,123.0,123.0,0,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer
2026-07-20,123.0,123.0,123.0,123.0,0,,
2026-07-21,123.0,123.0,123.0,123.0,0,,
2026-07-22,123.0,123.0,123.0,123.0,0,,
2026-07-23,123.0,123.0,123.0,123.0,0,,
2026-07-24,123.0,123.0,123.0,123.0,0,,
