Date,Close,High,Low,Open,Volume,DH,QA,AK,EP,XA,OD,GR,CP,BB,HD,CC,YP,AG,KZ,AT,PD,IF,XL,CD,TP,LG,YB,KI,YJ,DX,ZP,BK,AI,YU,HP,DR,LS,ES,RO,SQ,NI,AZ,XC,BQ,KK,MG,RG,AO,RX,PI,PC,EL,BS,IH,IU,DU,ZR,FZ,DP,AR,FS,SF,MI,PG,IT,RB
2026-07-13,1325.0,1335.0,1315.0,1330.0,10458500,-0.1293,0.0,-3.8,-0.0088,-0.0051,0.0816,-0.0,0.006,0.0,0.0009,-1.2,-0.0001,-0.1856,-0.2914,0.0003,6.9,-0.0985,0.5059,0.0,-0.1324,0.0343,0.0868,0.0024,0.0,-2.9,-0.6851,1.4,0.1054,0.2132,-0.0043,0.1932,-0.0013,0.0,-0.0008,0.0722,0.0224,0.0263,-0.0912,0.0101,-0.0463,0.0,0.0,0.0049,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,-0.0265,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,1340.0,1360.0,1325.0,1340.0,22771300,0.0072,0.0,-3.7,0.0054,-0.0028,2.7,-0.0078,0.0019,0.0,-0.0011,0.0881,0.0618,-0.8915,-0.4048,0.001,0.4743,0.0438,-0.2729,0.0,0.0938,-5.4,-0.0311,0.0029,0.0188,0.4878,-3.3,-0.7216,0.0669,4.3,-0.011,0.1286,-0.0083,-0.0013,-0.0005,0.1471,0.2851,0.1763,0.4966,-0.0053,5.4,0.0,0.0,0.0021,0.0,0.0,-0.0001,-0.135,-0.0068,0.0001,-0.0003,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,1350.0,1365.0,1290.0,1340.0,15563500,0.0119,0.0003,4.3,0.0014,0.0,-0.1091,0.0159,-0.0678,0.4006,-0.0717,1.6,-0.0949,-0.0634,0.0,-0.0111,0.4748,-0.0349,0.2613,-0.0091,-0.0483,-0.0881,0.0776,0.0,-0.0218,-0.0041,-2.4,-3.4,0.0101,2.2,-0.1202,-0.2688,-0.0094,0.0,0.0005,-0.2298,-0.1833,-0.1403,-0.0949,0.0063,-0.3044,0.005,0.0,-0.0028,-1.6,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1370.0,1370.0,1340.0,1350.0,19420100,-0.0045,0.0,0.1335,0.006,-0.0008,-0.0615,-0.0007,-0.0105,5.5,0.0147,-3.7,0.1606,0.0015,-7.6,0.0022,0.1323,-0.0334,-0.5805,0.0,-0.0411,-0.4421,-0.1147,0.0184,0.0,-0.0292,-4.1,7.2,0.4556,3.7,0.0035,-0.1857,-0.0014,-0.0027,0.002,0.0776,-0.0926,0.0367,-0.3889,-0.0553,0.0236,-0.0061,0.0018,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1355.0,1375.0,1350.0,1370.0,8279200,0.0058,0.0014,-4.4,-0.0049,-0.0001,-0.3553,0.0095,-0.0183,3.5,-0.0164,-0.5094,-0.0891,-0.0648,0.0005,0.0018,0.0319,0.0003,0.1962,0.0136,0.0014,-0.4848,0.0444,-0.0005,0.0009,0.0105,-0.6891,1.9,0.0053,0.1508,0.271,-0.0038,-0.0014,-0.0021,-0.0028,0.1263,0.0646,0.0269,0.2826,-0.0074,-0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1410.0,1425.0,1355.0,1355.0,15089400,-0.0272,0.0,3.7,-0.1026,0.0275,-0.0552,0.0,0.0128,-0.0192,0.0,-1.4,-0.4837,0.0,-3.2,0.0,0.0471,-0.0484,-1.2,-0.0133,0.0,-0.3393,0.0217,-0.0203,0.0005,-0.1588,-0.1214,2.1,-0.0799,-1.2,-0.1319,-0.314,-0.0507,0.0,0.0,1.0,-1.2,4.3,-0.4083,0.0,-0.0759,0.009,0.0,0.0,0.0,0.0,0.0,-0.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1127,0.0,0.0,0.0,0.0,-0.0212,0.0001
2026-07-21,1455.0,1510.0,1400.0,1415.0,30384000,-0.0592,0.0,4.2,-0.0997,0.0066,-0.1125,0.0,-0.0546,1.4,0.1022,7.3,-1.3,-0.0411,-2.6,-0.0165,-10.9,0.0028,-1.4,0.0,0.0,-0.2991,-0.1985,-1.5,0.0,-0.266,3.2,3.5,-0.6425,0.0579,0.0131,-1.1,-0.0285,0.0,-0.0167,-0.2474,1.5,0.8935,-0.1982,0.0,-0.1984,-0.3096,0.0,0.1402,0.0,0.0,0.0081,-0.4425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0745,0.0,0.0,-0.149,0.0,0.0,0.0
2026-07-22,1485.0,1490.0,1440.0,1455.0,21738700,-3.0,0.0,4.5,-0.026,-0.0314,0.0111,-0.0108,-0.0334,-0.6809,-0.0344,6.2,-0.1441,1.1,-0.1243,0.0,-4.3,-0.072,-0.3924,0.0,-0.0214,-0.015,-0.0228,-0.0183,0.0,-2.0,-4.9,4.9,0.0,-0.0312,-0.0331,-0.3968,0.0,0.0,0.0,0.5514,0.2253,0.0,0.0368,0.0,-0.0676,0.0,0.0,0.0,-1.3,0.0,-0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0222,0.0
2026-07-23,1410.0,1520.0,1385.0,1490.0,84981500,0.3483,0.0,8.8,0.2356,0.7384,-0.1797,0.0,0.0,1.6,-0.0836,6.1,3.0,0.0,0.4143,0.0551,0.7821,-0.4815,5.9,0.0,0.347,3.7,0.3111,0.0,0.193,-2.1,-0.585,13.2,6.7,-27.8,-0.0844,0.1859,0.0,0.0,0.0,1.6,-33.5,6.5,1.4,0.0,0.1447,0.8441,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2865,0.0,-0.151,-0.003,0.0,0.0
2026-07-24,1445.0,1450.0,1415.0,1435.0,25206700,0.0164,0.0044,8.0,-0.1327,-0.7295,-0.3646,0.0367,-0.0444,-1.1,0.0857,3.5,-0.3396,0.009,1.3,-0.0408,-8.3,-0.0895,2.8,0.0043,0.1248,0.0845,-0.1176,0.0037,-0.0855,-0.0043,1.3,4.2,-0.1292,0.0046,-0.1296,0.0122,0.0,-0.0036,0.0398,-1.7,-0.1786,0.0698,-0.4664,-0.0198,0.1803,-0.8197,0.0,-1.4,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,-0.0057,0.0,-5.6,-0.0866,-0.0175,0.0004,0.0,0.0,0.0,0.0
