Date,Close,High,Low,Open,Volume,OD,QA,PD,CC,XL,YP,FZ,NI,KI,YU,KK,DX,XC,MG,IF,EP,SQ,TP,BQ,HD,RO,DH,CP,AT
2026-07-13,208.0,212.0,200.0,206.0,388700,-0.0004,-0.0007,-0.0018,-0.0048,0.0139,-0.0085,0.0,0.0066,-0.0001,-0.002,0.0,0.0,0.0011,0.0128,0.0,-0.013,0.001,-0.0042,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,208.0,210.0,202.0,210.0,376800,0.0,0.0,-0.0021,-0.0005,0.0128,-0.0125,0.0,-0.0137,-0.0165,0.0,-0.0013,0.0,0.0325,-0.0008,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,-0.0003,0.0004
2026-07-15,206.0,208.0,204.0,208.0,176500,0.0016,0.0,-0.0001,0.0024,0.0127,-0.001,0.0,-0.0041,0.0,0.0,0.0001,0.0,-0.0001,-0.0011,0.0,0.0,-0.001,0.0,-0.0037,-0.0042,0.0,-0.0015,0.0,0.0
2026-07-16,204.0,206.0,202.0,202.0,261300,0.0005,0.0,-0.0092,0.0037,0.0064,0.0045,0.0002,0.0105,0.0,0.0,0.0,0.0,-0.0073,0.0049,-0.0035,0.0,-0.0137,0.0003,-0.0014,0.004,-0.0,0.0001,0.0,0.0
2026-07-17,206.0,206.0,202.0,206.0,547500,0.0002,0.0001,0.01,0.0023,-0.084,-0.0052,-0.0002,0.0052,0.0726,-0.0,0.0001,0.0,0.0047,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,208.0,208.0,199.0,206.0,1429600,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,206.0,210.0,202.0,208.0,1454200,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,210.0,210.0,202.0,206.0,831500,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,210.0,210.0,206.0,210.0,264700,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,204.0,210.0,202.0,210.0,299000,,,,,,,,,,,,,,,,,,,,,,,,
