Date,Close,High,Low,Open,Volume,XC,YU,YB,YP,XA,KK,NI,BQ,CP,AK,BK,OD,XL,FS,DH,CC,PD,SQ,GR,DR,AT
2026-07-13,605.0,620.0,600.0,610.0,86000,-0.0011,0.0,0.0,-0.0048,-0.0025,0.0,0.0,0.0,-0.0036,0.0062,-0.0093,0.0,-0.0234,0.039,0.0,0.0002,-0.0004,0.0,0.0,0.0,-0.0003
2026-07-14,605.0,610.0,600.0,605.0,85100,-0.0021,0.0,0.0,0.0015,0.0012,0.0,0.0,0.0,0.0,0.0033,-0.0103,0.0,-0.0255,0.0368,0.0,-0.0008,0.0,0.0,0.0,0.0,-0.0042
2026-07-15,610.0,615.0,600.0,615.0,112500,-0.0188,0.0,0.0,-0.0051,0.0,0.0,0.0,0.0,0.0,0.0,-0.0207,-0.0005,-0.0159,0.0649,0.0,-0.0002,-0.0005,0.0,0.0,-0.0031,0.0
2026-07-16,640.0,640.0,605.0,610.0,145600,-0.0015,0.0,0.0038,-0.0201,0.0,0.0,0.0142,0.0,-0.0032,0.0122,-0.0238,0.0,-0.0232,0.0185,0.0,-0.0004,0.0,-0.0031,0.0266,0.0,0.0
2026-07-17,645.0,670.0,620.0,645.0,114500,-0.0068,-0.0016,0.0068,0.0,-0.0209,-0.0025,0.0001,-0.0037,-0.0,-0.0013,-0.0146,-0.0001,0.0006,0.0262,0.0008,0.0032,0.0139,0.0,0.0,0.0,0.0
2026-07-20,645.0,660.0,630.0,660.0,59600,,,,,,,,,,,,,,,,,,,,,
2026-07-21,650.0,650.0,625.0,630.0,116600,,,,,,,,,,,,,,,,,,,,,
2026-07-22,655.0,660.0,630.0,660.0,81200,,,,,,,,,,,,,,,,,,,,,
2026-07-23,660.0,685.0,640.0,650.0,76700,,,,,,,,,,,,,,,,,,,,,
2026-07-24,650.0,680.0,640.0,665.0,72800,,,,,,,,,,,,,,,,,,,,,
