Date,Close,High,Low,Open,Volume,XC,KK,NI,BQ,CP,OD,XL,YP,CC,PD,MG,YU,TP,YJ,XA,DR,YB,LG,KI,RO,SQ
2026-07-13,88.0,89.0,86.0,89.0,110000,-0.0019,0.0003,0.0,0.0006,0.0,-0.0,-0.0037,-0.0002,0.0051,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
2026-07-14,88.0,92.0,86.0,89.0,277500,-0.0004,0.0001,0.001,-0.0011,0.0034,-0.0004,0.0062,0.0052,0.0016,-0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,0.0,0.0,0.0009
2026-07-15,86.0,88.0,85.0,88.0,258600,0.0011,0.0,0.0009,0.0015,0.0093,0.0,0.0005,0.0019,0.0001,-0.0095,0.0,0.0,0.0,0.0,-0.0008,0.0041,-0.009,-0.0002,0.0,0.0,0.0
2026-07-16,89.0,95.0,86.0,86.0,661500,-0.0004,-0.0005,0.0,0.0006,-0.0136,-0.0001,0.0067,0.0093,0.0001,-0.0014,0.0,0.0018,0.0,-0.0006,0.0,-0.0018,0.0,0.0,0.0,0.0,0.0
2026-07-17,89.0,92.0,87.0,89.0,400800,0.0002,0.0001,-0.0003,-0.0005,-0.0011,-0.0001,-0.0015,0.0085,-0.0,-0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,90.0,93.0,89.0,89.0,112200,,,,,,,,,,,,,,,,,,,,,
2026-07-21,89.0,90.0,87.0,89.0,193900,,,,,,,,,,,,,,,,,,,,,
2026-07-22,90.0,91.0,89.0,91.0,80400,,,,,,,,,,,,,,,,,,,,,
2026-07-23,89.0,92.0,88.0,90.0,436800,,,,,,,,,,,,,,,,,,,,,
2026-07-24,88.0,107.0,88.0,89.0,15887800,,,,,,,,,,,,,,,,,,,,,
