Date,Close,High,Low,Open,Volume,CP,GR,XL,IF,YP,DR,PD,EP,CC,KI,KK,FS,ES,XC,SQ,TP,OD,BQ,AK,NI,AZ,YB,ZP,HP,LG,HD,RO,DH,MG,YJ,BK,AT,RG,XA,YU
2026-07-13,424.0,424.0,418.0,418.0,1052000,0.0,-0.0417,0.1229,0.0037,-0.0084,0.0,0.093,-0.0003,0.0164,0.0422,-0.0102,0.0,0.0,0.0031,-0.002,0.0,-0.0001,0.0004,-0.0319,0.0,-0.1842,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0167,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0143
2026-07-14,426.0,428.0,420.0,426.0,547200,0.0042,0.0853,0.0265,0.0,-0.0454,0.0,0.013,0.0005,-0.0397,0.0,0.0055,0.0,0.0,0.0207,0.0075,0.0,0.0008,0.0,-0.0382,0.0001,-0.0241,0.0,0.0002,0.0,0.0,-0.0,0.0,-0.0142,0.0,0.0,-0.0029,0.0,0.0,-0.0,0.0
2026-07-15,424.0,428.0,418.0,428.0,656800,0.0,0.018,0.0184,0.0,0.0103,0.0,-0.0076,-0.0001,-0.0014,0.0,0.0166,0.0,0.0,-0.0109,0.0458,0.0,0.0001,0.0008,-0.007,-0.0547,-0.0236,-0.0,0.0,0.0006,0.0,0.0001,0.0,-0.0059,0.0,0.0,-0.0004,0.0,0.0008,0.0,0.0
2026-07-16,440.0,442.0,422.0,424.0,1393800,0.0675,-0.002,-0.0002,-0.0033,-0.0709,-0.0002,0.0108,0.0,0.0521,-0.0259,-0.0311,-0.0022,0.0,0.0018,-0.02,0.0279,-0.0006,-0.0009,-0.0508,0.0345,-0.0085,0.0128,-0.0022,0.0187,0.0,0.0014,-0.0003,-0.0087,0.0223,-0.0259,0.0037,0.0003,0.0,0.0,0.0
2026-07-17,452.0,466.0,434.0,440.0,2438700,0.0217,-0.0008,0.2646,0.0045,0.0538,0.0039,-0.0102,0.0031,-0.0334,-0.0178,-0.0071,-0.0004,-0.135,-0.0169,-0.0292,0.0436,0.0078,-0.0251,-0.0618,0.0061,0.0223,-0.0501,-0.0013,-0.0184,-0.0188,-0.0015,0.0047,-0.0245,0.0163,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,446.0,454.0,444.0,454.0,1199900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,448.0,454.0,444.0,450.0,818500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,450.0,452.0,444.0,448.0,488600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,450.0,458.0,446.0,446.0,951500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,446.0,458.0,442.0,458.0,790300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
