Date,Close,High,Low,Open,Volume,OD,IN,BQ,CC,PD,XL,NI,YB,AT,XC,DH,MG,RO
2026-07-13,3450.0,3450.0,3450.0,3450.0,300,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0003,0.0,0.0,-0.001
2026-07-14,3460.0,3460.0,3450.0,3450.0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2026-07-15,3480.0,3500.0,3470.0,3490.0,31000,0.0007,0.0,-0.007,0.0,0.0,-0.0104,0.0,0.0,0.0,-0.0003,0.0,0.0171,0.0
2026-07-16,3490.0,3570.0,3490.0,3490.0,38600,0.0004,0.0,0.0168,-0.0128,-0.0004,-0.0094,0.0,0.039,0.0003,-0.0021,-0.0068,-0.0251,0.0
2026-07-17,3530.0,3540.0,3510.0,3540.0,20700,0.0018,0.038,-0.0042,0.018,-0.0166,-0.0454,0.0014,0.0042,-0.0007,0.0035,0.0,0.0,0.0
2026-07-20,3550.0,3550.0,3530.0,3530.0,7000,,,,,,,,,,,,,
2026-07-21,3540.0,3550.0,3530.0,3550.0,4900,,,,,,,,,,,,,
2026-07-22,3530.0,3540.0,3520.0,3540.0,5900,,,,,,,,,,,,,
2026-07-23,3520.0,3530.0,3520.0,3520.0,9900,,,,,,,,,,,,,
2026-07-24,3530.0,3650.0,3530.0,3530.0,50000,,,,,,,,,,,,,
