Date,Close,High,Low,Open,Volume,NI,RO,XA,OD,YB,YO,DR,SQ,YP,XC,LG,KK,XL,AT,TF,EP,CD,DH,TP,IU,PD,BQ,AZ,IF,MG,MU,GR,CC,CP,QA,YU,HP,AI,MI,ZP,AG,KI,IN,SH
2026-07-13,50.0,50.0,50.0,50.0,74000,0.0013,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,-0.0032,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,50.0,50.0,50.0,50.0,329800,0.0001,0.0,0.0,0.001,0.0,0.0,0.0,0.0005,0.0008,0.0008,0.0001,0.0066,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,-0.0163,0.0,0.0008,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,50.0,50.0,50.0,50.0,209100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0004,0.0,0.0,0.0048,0.0,0.0,0.0005,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,-0.0103,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,50.0,50.0,50.0,50.0,220000,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0016,0.0001,0.0001,0.0001,0.0026,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0021,0.0003,0.0,0.0,0.0,0.0,-0.0089,0.0,0.005,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,50.0,51.0,50.0,50.0,25215600,-0.0166,0.005,0.0377,-0.0016,-0.035,-0.0003,0.0765,-0.0476,0.0078,-0.0038,0.0085,0.0049,-0.1111,-0.0002,-0.002,-0.0149,-0.0102,-0.0022,-0.0009,-0.0001,-0.0794,0.0,0.003,-0.001,0.0948,-0.1613,0.0493,0.1287,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,50.0,50.0,50.0,50.0,933900,0.0,0.0148,-0.0112,0.0003,-0.0181,0.0,0.0,0.0,0.0129,0.0085,0.0051,0.0001,-0.0112,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035,0.0015,0.0,0.0,0.0005,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,50.0,50.0,50.0,50.0,1431100,0.0,0.0,-0.0266,0.0007,-0.0001,0.0,0.0,0.0,0.0071,0.0013,0.0,0.0001,0.0109,0.0,0.0,0.002,0.0,0.0002,0.0,0.0,0.0152,0.0,0.0073,0.0,-0.0449,0.0,0.0001,0.0161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0005,0.005
2026-07-22,50.0,50.0,50.0,50.0,2427900,0.0005,0.0,0.0,0.005,0.0,0.0,0.0,0.0108,0.0424,0.0142,0.0,0.0001,0.0363,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0016,0.0,0.0,0.0,-0.1214,0.0,0.0,0.0018,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0035,0.0,0.0,0.0
2026-07-23,50.0,50.0,50.0,50.0,3975400,-0.0002,0.0001,0.0,0.001,0.0,0.0,0.0051,0.0001,0.024,0.0126,0.0025,0.0103,0.1312,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0001,0.0,0.0,-0.1726,0.0,-0.0241,0.0005,0.0001,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,50.0,50.0,50.0,50.0,189800,0.0031,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0005,0.0004,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0085,0.0,0.0,0.0004,0.0,0.0,0.0002,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0
