Date,Close,High,Low,Open,Volume,BK,NI,RO,XA,OD,YB,QA,DR,SQ,YP,YU,XC,LG,KK,XL,AK,AT,ZP,YJ,EP,DH,PD,AG,KI,PC,MI,GR,CC,DX,CP,PP,BQ,IF,MG,BR,FS,AI,AZ,LS,TP,PO,HD,AO,RF,DD,HP,RG,EL,DP
2026-07-13,1000.0,1010.0,995.0,1005.0,1328400,-0.0416,-0.0026,0.001,0.0,0.006,0.0002,0.0,-0.009,0.0118,-0.0731,-0.0001,-0.0271,-0.0483,-0.0093,-0.1235,0.3514,0.0,0.0008,0.0,0.0003,-0.0003,0.0596,0.0,0.0001,0.0,0.0024,-0.008,0.0225,0.0,-0.0001,0.0,-0.0003,0.003,0.0,0.0,0.0,0.0,-0.0001,-0.015,-0.101,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0005,0.0,0.0
2026-07-14,1030.0,1035.0,1010.0,1010.0,2685200,0.0404,-0.1841,0.0003,-0.0016,-0.0179,0.0535,0.0,0.0241,0.0105,-0.3981,-0.0014,-0.0572,-0.0002,0.0041,0.0692,0.0994,-0.0011,-0.006,-0.0058,0.0717,0.0048,0.4239,0.0,0.0,0.0,0.0025,0.0282,0.162,-0.0976,-0.1045,0.0,-0.1023,-0.0004,0.0,-0.0021,0.0,-0.0181,-0.1546,-0.2055,-0.0017,-0.0051,0.3716,0.0,-0.006,0.0051,0.0,0.0,0.0,0.0
2026-07-15,1035.0,1050.0,1025.0,1035.0,3030700,-0.0219,-0.037,0.0,-0.0344,-0.0363,0.1353,0.0,-0.0033,-0.0117,-0.3288,-0.0638,-0.2877,-0.014,0.0464,0.373,-0.1218,-0.0012,0.076,-0.0037,-0.4842,-0.0027,0.7067,-0.102,0.0003,0.0,0.0025,-0.1027,0.3087,-0.0097,-0.0012,0.0,0.0052,0.0,0.0,0.0,-0.0011,0.001,0.0031,-0.0052,-0.0042,-0.0021,0.0218,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1025.0,1050.0,1025.0,1035.0,1276500,-0.0001,0.0394,0.0,-0.0006,-0.1072,0.0026,0.0004,-0.0334,0.0441,-0.0392,0.0,0.0276,-0.013,-0.0446,0.2258,-0.0994,0.0002,0.0062,0.002,-0.0525,0.0008,0.2099,0.0001,-0.0003,0.0,0.0,-0.0295,-0.1564,0.0049,0.0,-0.0811,-0.0052,0.0002,0.0988,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1040.0,1050.0,1025.0,1035.0,1906600,-0.0128,-0.0397,-0.0001,-0.0217,0.0148,-0.1152,-0.0002,0.0006,0.0193,0.2181,-0.4582,0.0725,0.0009,0.0786,0.1949,0.0426,-0.0001,0.1543,-0.0004,0.0299,-0.0263,-0.0757,0.0002,0.0001,0.0624,0.0024,-0.0385,-0.1246,0.001,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1030.0,1060.0,1030.0,1040.0,2274700,-0.0061,0.0313,0.0003,0.0103,0.0075,0.1193,500.0,0.0644,0.0064,-0.084,-0.0296,0.104,-0.0024,-0.0235,0.4197,-0.2975,0.0306,0.0003,0.0005,-0.0341,0.0041,-0.2493,0.0003,0.0007,0.0,0.0,-0.0007,0.0661,0.0,-0.0707,0.0,0.0,0.0,0.0,0.0,-0.0216,0.0,0.0,0.0,-0.0674,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0
2026-07-21,1030.0,1045.0,1025.0,1035.0,2605600,0.0007,-0.0692,0.0002,0.0012,0.036,-0.0508,0.0003,0.0227,0.0166,0.1114,0.0,0.0008,0.0018,0.0302,0.3913,-0.4233,-0.0248,0.1379,0.0,-0.0433,0.0163,-0.6912,0.0,0.011,0.0,0.0025,0.0003,0.2206,-0.0064,-0.0103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0996,0.001,-0.1393,0.0,0.3655,0.0,0.0,0.0,-0.0094,0.0,0.0,0.0
2026-07-22,1025.0,1040.0,1025.0,1030.0,1340200,0.0045,0.0207,0.0,0.0008,0.0198,0.0,0.0,0.0052,-0.0181,-0.0523,0.0,0.0094,0.0103,-0.0118,0.2309,-0.1256,0.0001,0.078,0.0,0.0202,-0.0701,0.0277,0.0005,0.0,0.0206,0.0,0.0088,0.0984,-0.1282,0.0033,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.003,0.0,-0.0023,0.0,-0.0372,0.0,0.0,0.0,-0.0103,0.0,0.0,-0.1074
2026-07-23,1020.0,1020.0,1000.0,1020.0,3501500,-0.0047,0.0762,0.0009,0.0007,0.0199,-0.1237,-0.0002,0.2441,0.0733,-0.0022,0.0204,0.2226,0.0001,0.1875,-0.2583,-0.3595,-0.0052,-0.4311,0.0036,-0.0721,0.0122,-0.0342,-0.0001,0.0004,0.01,0.0024,-0.02,0.2679,0.0019,0.0012,0.0,-0.0004,0.0002,-0.0612,0.0,0.0,-0.0983,0.0314,0.1056,0.2041,0.001,-0.0163,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0
2026-07-24,1005.0,1015.0,1000.0,1015.0,2061400,-0.006,0.1158,0.0,0.1334,0.0276,-0.0165,0.0007,-0.0809,-0.0232,-0.3182,-0.0005,-0.0042,0.0113,0.0245,0.6337,-0.5583,-0.0007,0.0015,0.005,-0.007,0.004,-0.0228,0.0009,0.0,0.0401,0.0,-0.0067,0.1194,0.0,0.0256,0.0,0.001,0.0001,0.0,0.0,0.001,0.0,-0.1029,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0
