Date,Close,High,Low,Open,Volume,XC,XL,DR,YP,AI,ID,FZ,AK,EP,PD
2026-07-13,9900.0,10875.0,8600.0,9900.0,4000,-0.0087,0.0036,-0.0003,-0.0011,0.0,-0.0009,0.0069,-0.0011,-0.0001,0.0017
2026-07-14,9900.0,9900.0,9900.0,9900.0,200,0.0,0.0,0.0,0.002,-0.002,0.0,0.0,0.0,0.0,0.0
2026-07-15,9900.0,9900.0,9900.0,9900.0,0,,,,,,,,,,
2026-07-16,9900.0,9900.0,9900.0,9900.0,0,,,,,,,,,,
2026-07-17,9900.0,9900.0,9900.0,9900.0,600,-0.005,0.0059,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,9900.0,9900.0,9900.0,9900.0,0,,,,,,,,,,
2026-07-21,10800.0,11875.0,9900.0,9900.0,9800,,,,,,,,,,
2026-07-22,11575.0,12950.0,10050.0,11775.0,30200,,,,,,,,,,
2026-07-23,13875.0,13875.0,11550.0,11550.0,20800,,,,,,,,,,
2026-07-24,14425.0,16650.0,13050.0,16650.0,49300,,,,,,,,,,
