Date,Close,High,Low,Open,Volume,CP,GR,XL,CC,YP,PD,IF,XA,KK,XC,SQ,OD,BQ,NI,YU,AZ,YB,HP,RO,DH,AG,DX,DR,AT,TP,AK,LG,MG
2026-07-13,256.0,264.0,256.0,260.0,32100,0.0,0.0,-0.001,-0.0007,0.0022,-800.0,0.0,0.0001,0.0,0.0001,0.0031,-0.0004,-0.0006,0.0,0.0,-0.0026,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,-0.0003,-0.0001,0.0,0.0001,0.0
2026-07-14,270.0,282.0,262.0,264.0,679100,-0.0,0.0003,0.0784,-0.0129,-0.012,-0.0031,0.0,0.0028,0.003,-0.0107,-0.004,0.0034,0.0,-0.004,0.0,-0.0041,0.0,0.0,0.0,0.0,0.007,0.0,0.0,-0.0626,0.0181,0.0003,-0.0001,0.0003
2026-07-15,272.0,278.0,260.0,270.0,112000,0.0,0.0,0.0141,-0.0033,0.0001,0.0,0.0,-0.0012,-0.0001,0.0001,0.003,-0.0129,-0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,272.0,280.0,256.0,272.0,953400,0.0,0.0,0.1047,-0.0377,0.0085,-0.0831,0.0003,0.0005,-0.0006,0.0089,-0.0,0.0093,0.0002,-0.0192,0.0,-0.0027,0.0,0.0,0.0,0.0003,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,248.0,272.0,248.0,264.0,2993400,0.026,0.015,0.1587,0.1322,0.1838,0.0144,0.0015,0.0006,-0.0021,0.0206,-0.6519,0.0214,0.0002,0.0326,0.01,0.0332,0.0012,0.0023,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,250.0,260.0,246.0,254.0,1611200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,254.0,260.0,250.0,260.0,2295100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,252.0,258.0,250.0,254.0,3230300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,248.0,254.0,246.0,252.0,4797600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,250.0,250.0,240.0,248.0,2651600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
