Date,Close,High,Low,Open,Volume,TP,DH,QA,OD,XL,DR,CC,XA,YP,EP,MG,XC,SQ,PD,BQ,KK,PC,NI,KI,AO,ZP,YO,DX,CP,RO,AT
2026-07-13,190.0,192.0,181.0,191.0,157700,0.0,0.0005,0.0,0.0002,0.0057,0.0001,0.0073,0.0,0.0002,0.0,0.0,-0.0133,0.0,-0.0011,0.0001,-0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
2026-07-14,196.0,199.0,186.0,189.0,193700,0.0,0.0,0.0,-0.0005,-0.0105,-0.0001,-0.0082,0.0,-0.0001,0.0025,-0.0,-0.0021,0.0002,0.0006,0.0,-0.0026,0.0,-0.0029,0.0,0.0261,0.0,0.0,0.0,-0.0024,-0.0,0.0
2026-07-15,188.0,195.0,185.0,191.0,213200,0.0,0.0,0.0,0.0005,0.0077,-0.0,0.0205,0.0,0.0,-0.0061,0.0,0.0004,0.0,0.0,0.0012,0.0,0.0,0.004,0.0001,-0.0245,-0.0004,-0.0035,0.0,0.0,0.0,0.0
2026-07-16,187.0,190.0,187.0,188.0,25200,0.0,0.0,0.0,0.0002,0.0002,0.0,-0.0015,0.0,0.001,0.0,0.0,-0.0003,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,186.0,191.0,185.0,191.0,24700,0.0001,0.0,0.0001,-0.0004,0.0014,-200.0,-0.0001,0.0,-0.0009,-0.0017,0.0,0.0014,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,190.0,192.0,186.0,186.0,30400,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,189.0,195.0,187.0,195.0,55600,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,189.0,192.0,188.0,188.0,40900,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,190.0,192.0,189.0,190.0,117800,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,187.0,192.0,186.0,192.0,25200,,,,,,,,,,,,,,,,,,,,,,,,,,
