Date,Close,High,Low,Open,Volume,YP,AK,PD,XL,CC,XC,AZ,OD,KK,MG,DH,NI,BQ,AG,YU,GR,DR
2026-07-13,162.0,166.0,162.0,166.0,71500,0.0015,-0.0,0.0013,-0.0055,0.0001,0.0009,0.0,0.0001,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,-0.0032
2026-07-14,162.0,165.0,162.0,165.0,70800,0.0013,-0.0005,-0.0008,-0.0042,0.0002,0.0013,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0008,0.0
2026-07-15,165.0,165.0,156.0,162.0,196600,0.0007,-0.0004,0.0036,0.0004,-0.0239,-0.0,0.0,0.0012,0.001,0.0027,0.0142,0.0007,-0.0,0.0,0.0,0.0,0.0
2026-07-16,163.0,165.0,163.0,165.0,19000,0.0,-0.0001,0.0003,0.0003,-0.0007,0.0002,-0.0001,-0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,162.0,164.0,162.0,163.0,10800,0.0,-0.0,0.0001,-0.0009,-0.0003,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,163.0,167.0,163.0,166.0,19200,,,,,,,,,,,,,,,,,
2026-07-21,165.0,165.0,161.0,164.0,76500,,,,,,,,,,,,,,,,,
2026-07-22,164.0,167.0,159.0,164.0,391300,,,,,,,,,,,,,,,,,
2026-07-23,164.0,167.0,164.0,167.0,82100,,,,,,,,,,,,,,,,,
2026-07-24,162.0,164.0,162.0,164.0,11400,,,,,,,,,,,,,,,,,
