Date,Close,High,Low,Open,Volume,NI,XA,OD,YB,QA,DR,SQ,YP,HP,XC,LG,KK,KZ,XL,YJ,EL,AI,DH,IF,AZ,MG,BS,CP,BK,AD,RO,YU,AK,AT,ZP,CD,TP,EP,PD,BQ,GA,AG,KI,GR,RX,CC,DX,SH,FS,RG,RB,AO,FZ,PG,PC,TF,BB,AR,AF,RF,HD,ID,LS,OK
2026-07-13,5725.0,5800.0,5575.0,5600.0,9840200,0.0,0.0,-0.458,0.0,3.6,-0.538,-0.3601,-0.1494,0.0017,-3.4,7.0,-0.1706,-1.0,-1.4,0.0,0.1069,-0.0325,-0.3608,0.3725,-0.1296,-0.2507,0.0,-0.1679,2.0,0.0,-0.0405,0.7618,9.3,0.0,-23.6,0.0,-0.3802,0.162,6.4,0.0,0.0,-0.1448,0.0,-0.1556,0.0,2.6,-0.0636,1.4,-0.0452,0.0,0.0,0.1192,-0.0583,0.0,0.0,0.0,-0.5004,0.0,-0.3435,0.0,0.118,-0.0341,0.0057,-0.0201
2026-07-14,5725.0,5775.0,5625.0,5700.0,14810900,-3.2,0.2679,0.1027,0.0591,1.8,0.0,0.1539,2.0,-0.1067,3.8,-19.6,0.2611,-3.3,1.7,-0.009,-1.4,0.0,0.0516,0.4829,0.2177,3.5,0.0,0.7046,0.8233,0.0,0.1724,2.4,15.7,0.0,-16.9,0.0,2.9,0.0,15.2,-0.0614,0.0,-0.1677,-3.6,0.0839,0.0,-3.8,0.0565,0.1002,0.1725,0.0,0.0,-0.0212,0.4735,0.0,0.0,0.0,0.0,0.0,-0.0025,-0.57,-0.5211,0.0,0.0,0.0
2026-07-15,5725.0,5900.0,5725.0,5800.0,14532400,0.493,0.2725,1.2,0.5162,0.5406,1.2,1.6,3.0,-0.0041,5.4,0.0,-0.0772,1.0,12.1,0.1541,-0.7926,0.6089,0.0,0.2331,1.3,0.0,0.0,0.1483,-1.7,0.0,0.0,0.7017,-13.1,0.0,-35.0,0.0,-0.3204,0.1389,2.7,-1.8,0.0,0.0,-1.4,0.863,0.0,17.1,-0.045,0.597,-0.0999,0.0,-0.0088,0.6416,0.0,-0.0116,0.2128,-0.0018,0.999,-0.0059,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,5725.0,5800.0,5650.0,5750.0,8010600,0.1856,0.3982,0.0328,-0.3055,0.0,0.233,0.4828,4.6,-0.0963,-0.6835,0.14,0.5023,0.7486,-0.8585,0.0046,0.0,0.0086,0.3327,0.1072,-0.1125,-0.3938,0.0,0.2782,0.601,0.0,-0.0039,-14.5,-1.2,-0.0069,0.6378,0.8444,0.0347,-0.218,3.3,0.0051,0.0,0.0,-0.0602,-0.2702,0.0,4.5,0.0,0.2863,-0.0573,0.0115,0.0086,0.8575,-0.3255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,5725.0,5825.0,5600.0,5700.0,5539400,-0.3304,-0.0603,2.3,0.0306,0.0214,-0.0645,-0.1326,-1.2,-0.0541,0.014,-0.2442,-0.3172,1.2,-2.7,0.0084,0.3398,0.1023,-0.0815,-0.084,-0.0826,-3.0,0.017,-0.6719,0.3326,-0.0001,0.009,0.2036,-0.2674,-0.0203,-0.5638,0.14,0.0588,-0.0132,4.6,0.1013,-0.0028,0.004,-0.6158,0.0587,-0.3498,1.4,-0.0578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,5725.0,6000.0,5700.0,5750.0,16820300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,5725.0,5900.0,5675.0,5725.0,12628100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,5825.0,5950.0,5725.0,5825.0,22668400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,6100.0,6325.0,5775.0,5800.0,45425900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,6175.0,6325.0,5950.0,5950.0,33947700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
