Date,Close,High,Low,Open,Volume,CP,XL,CC,YP,XA,DR,AK,NI,ZP,HD,XC,OD,PD,KK,AG,HP,BQ,EP,SQ,GR,YU,AI
2026-07-13,460.0,466.0,458.0,458.0,3600,0.0,-0.0001,-0.0002,0.0,0.0,0.0,0.0,-0.0,0.0001,0.0,-0.0004,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,458.0,462.0,456.0,460.0,24600,0.0,-0.0031,0.0,-0.0,0.0,0.0,-0.0008,0.0036,0.0028,0.0,0.0,0.0,0.0,0.0,-0.0046,0.0,0.0,0.0013,0.0,0.0002,0.0003,0.0002
2026-07-15,462.0,464.0,458.0,458.0,23900,0.0,-0.0001,0.0001,0.0003,0.0,0.0,-0.0006,0.0043,0.0037,0.0,-0.0005,0.0,0.001,0.0002,-0.0092,0.0,0.0001,0.0003,0.0005,0.0,0.0,0.0
2026-07-16,456.0,460.0,454.0,460.0,87800,0.0017,0.0042,-0.0041,0.0011,0.0,0.0,0.0,0.0,0.0242,0.0,0.0025,0.0006,0.0032,0.0004,-0.034,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,458.0,460.0,456.0,460.0,44300,0.0014,-0.0044,0.0015,0.0005,0.0,-0.009,-0.0011,-0.0046,0.0151,-0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,456.0,464.0,456.0,458.0,72600,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,458.0,466.0,454.0,458.0,168500,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,460.0,466.0,458.0,466.0,10100,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,460.0,464.0,454.0,462.0,118100,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,456.0,460.0,452.0,460.0,314100,,,,,,,,,,,,,,,,,,,,,,
