Date,Close,High,Low,Open,Volume,XL,PD,YU,RB,GR,BQ,XC,RO,CP,II,YP,AK,CC,NI,LG,OD,KI,YB,DR,TP,AZ
2026-07-13,298.0,302.0,278.0,302.0,89200,0.0099,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0006,0.0,0.0,0.0003,0.0001,-0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001
2026-07-14,288.0,290.0,278.0,290.0,207000,0.0182,0.0007,0.0,0.0,0.0,0.0068,0.0017,0.0,0.0,0.0007,0.0003,-0.0007,-0.0288,0.0001,0.0,0.0004,0.0,0.0,0.0006,0.0001,0.0
2026-07-15,280.0,288.0,278.0,288.0,66200,-0.0043,0.0006,0.0,0.0,0.0,0.0022,0.001,0.0,0.0,0.0,0.0003,-0.0004,-0.0,0.0001,0.0001,0.0005,0.0,0.0,0.0,0.0,0.0
2026-07-16,284.0,288.0,278.0,284.0,69400,0.0005,0.0,0.0,0.0,0.0,-0.0007,-0.0014,0.0,0.0,0.0,-0.0088,0.0022,0.0081,0.0,0.0,0.0007,0.0,0.0,-0.0006,0.0,0.0
2026-07-17,276.0,288.0,262.0,288.0,243600,0.0183,0.0017,0.0,0.0011,0.0,-0.0,-0.0142,-0.0,-0.0,0.0004,0.0003,0.002,-0.0095,0.0001,0.0001,-0.0001,-600.0,0.0,0.0,0.0,0.0
2026-07-20,284.0,290.0,276.0,278.0,53600,,,,,,,,,,,,,,,,,,,,,
2026-07-21,282.0,286.0,276.0,278.0,80400,,,,,,,,,,,,,,,,,,,,,
2026-07-22,278.0,284.0,276.0,282.0,49900,,,,,,,,,,,,,,,,,,,,,
2026-07-23,276.0,284.0,276.0,278.0,146600,,,,,,,,,,,,,,,,,,,,,
2026-07-24,278.0,282.0,274.0,282.0,12000,,,,,,,,,,,,,,,,,,,,,
