Date,Close,High,Low,Open,Volume,XC,SQ,YB,LG,AZ,KK,NI,BQ,CP,KI,AK,PD,XL,YP,DH,CC,RO,ZP,AT,OD,MG,GR,DR,YO,HP,XA,EP
2026-07-13,95.0,99.0,95.0,97.0,811700,-0.0005,0.0001,0.0029,0.0001,0.0,0.0337,0.0001,-0.0002,-500.0,0.0024,-0.0006,0.0026,-0.0455,0.0064,0.0,0.001,0.0,0.0,0.0,0.0003,0.0,0.0,0.001,0.0,-0.0037,0.0,0.0
2026-07-14,97.0,99.0,95.0,95.0,565500,0.0001,0.0012,-0.0017,0.0005,0.0,-0.0169,-0.0001,0.0012,-0.0,0.0,-0.0,-0.0046,0.0017,0.0111,0.0001,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0019,0.0,0.0,0.0049,0.0,0.001
2026-07-15,97.0,99.0,97.0,99.0,408600,-0.0004,0.0,0.0,0.0005,0.0,-0.0092,0.001,0.0023,0.0,-0.0,0.0,0.0014,-0.0016,0.0029,-0.0001,-0.0005,-0.0,0.0,0.001,0.0002,0.0,0.0,0.0,-0.0012,0.0037,0.0,0.0
2026-07-16,98.0,99.0,96.0,98.0,724700,0.0073,-0.0001,-0.0013,0.0001,0.0,-0.0017,0.001,0.0099,0.0014,-0.0024,0.0,-0.0031,-0.0049,-0.0073,0.0,-0.0001,0.0,-0.0002,0.0004,0.0012,-0.0047,-0.002,0.0065,0.0,0.0,0.0,0.0
2026-07-17,99.0,100.0,97.0,99.0,735400,0.001,0.0044,0.002,-0.0028,-0.0008,-0.0007,0.0,-0.0024,-0.0015,0.0049,-0.0019,-0.0065,0.0024,0.0014,0.0002,0.0003,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,102.0,106.0,98.0,98.0,2760800,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,103.0,107.0,101.0,102.0,3929100,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,119.0,132.0,101.0,104.0,60217300,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,109.0,133.0,107.0,131.0,48927600,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,113.0,115.0,106.0,110.0,15516100,,,,,,,,,,,,,,,,,,,,,,,,,,,
