Date,Close,High,Low,Open,Volume,XC,AZ,KK,CP,AT,KI,OD,BK,EP,XL,YP,DH,CC,TP,YB,NI,BQ,IF,PD,HP,HD,RO,DR,XA,MG,SQ,LG,PC,GR,AI
2026-07-13,121.0,123.0,121.0,122.0,1243800,0.0077,0.0,-0.0088,-0.0,0.0001,0.0,0.0,-0.0032,0.0402,-0.0198,-0.025,-0.0002,-0.0172,0.0,0.0,0.0001,-0.0061,0.0,-0.0093,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0414,0.0,0.0,0.0,-0.0
2026-07-14,123.0,128.0,120.0,121.0,3062400,0.0809,0.0005,-0.0224,0.0116,-0.0001,0.0015,-0.0001,-0.0043,0.0,0.0069,-0.0036,0.0094,-0.0256,0.0,0.0002,0.0061,-0.0059,0.0,-0.0233,0.0,0.0001,-0.0003,0.0,-0.0,-0.0001,-0.0305,0.0002,0.0,-0.0011,0.0
2026-07-15,122.0,124.0,121.0,123.0,1511400,0.0209,0.0,0.0099,-0.0053,0.0,-0.0015,0.0,-0.0036,0.0732,-0.0124,0.0039,0.0,-0.1036,0.0,0.0,0.0,-0.0002,0.0,0.0126,0.0,-0.0001,0.0001,0.0,0.0,0.0059,0.0002,0.0,0.0,0.0,0.0
2026-07-16,123.0,125.0,121.0,122.0,1612900,0.0026,-0.0,0.0096,-0.0184,0.0,0.0,-0.0,-0.0038,-0.0143,0.0004,-0.0165,0.0002,0.0234,0.0,0.0025,-0.0,0.0157,0.0,-0.0011,0.0,0.0001,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,124.0,126.0,123.0,123.0,3057600,-0.0073,0.0031,-0.0195,0.0032,0.001,0.0012,-0.0005,-0.0045,-0.0069,0.1548,-0.0154,-0.0006,-0.1057,0.0003,-0.0005,0.0049,-0.0017,-0.0,-0.0079,0.0011,-0.0001,0.0007,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,126.0,137.0,123.0,125.0,11824900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,127.0,130.0,125.0,126.0,3783200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,127.0,129.0,126.0,128.0,2290300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,127.0,128.0,126.0,126.0,1127300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,124.0,127.0,122.0,127.0,1497900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
