Date,Close,High,Low,Open,Volume,NI,IN,CC,OD,YB,DR,YP,YU,JB,XC,KK,XL,AT,PD,BQ,HD,DH,AZ,SQ,YJ,ZP,CP,EP,GR,LG,MG,HP,PC,CD,RO,IF,QA,XA,DX,KI,AG,SF,LS
2026-07-13,87.0,87.0,85.0,86.0,460300,-0.0,0.0,-0.0022,0.0,-0.01,0.0,-0.0041,0.0,0.0,0.0127,0.0,0.0041,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,87.0,87.0,85.0,87.0,529900,0.0014,-0.0003,0.0051,0.0,0.0,0.0,0.0014,0.0,0.0,0.0097,0.0002,-0.0195,0.0,0.0001,0.0,-100.0,0.0004,0.0,0.001,0.0,0.0,0.0001,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,87.0,88.0,86.0,87.0,200600,-0.0013,0.0,-0.0002,0.0,0.0,0.0,0.0019,0.0,0.0,0.0018,0.0,-0.0049,0.0,-0.0001,0.0009,-0.0,-0.0004,0.0,0.0,0.0021,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,87.0,88.0,82.0,88.0,1209300,-0.0,0.0038,0.012,0.001,0.0007,0.0035,0.0024,0.001,0.0,0.0087,0.0,-0.0355,0.0,0.0009,0.0,-0.0,-0.0001,0.0009,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,88.0,90.0,85.0,88.0,803900,0.0427,-0.0038,-0.0011,-0.0007,0.002,-0.0089,-0.0017,0.0,0.0,-0.0009,-0.0006,-0.0219,0.0,-0.005,-0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,94.0,105.0,88.0,89.0,38460000,0.0028,-0.01,0.0041,0.0268,-0.0055,-0.0127,-0.0961,-0.0012,0.0,-0.0457,-0.0148,0.2201,-0.0026,-0.0064,-0.0018,0.0004,-0.0,-0.0013,0.004,-0.0282,0.0148,-0.0246,-0.0064,0.0117,0.0,-0.0233,0.0003,0.0002,0.0,0.0005,-0.0011,0.0002,-0.0041,-0.0001,-0.0001,0.0009,-0.001,-0.0
2026-07-21,93.0,94.0,91.0,94.0,3902800,0.0029,0.0,-0.0119,-0.0015,0.0001,0.0009,0.0018,0.0,0.0,0.0284,0.0028,-0.0449,0.0,0.0065,-100.0,0.0,0.0,0.0,0.0033,0.02,0.0,-0.0084,-0.0007,-0.0048,0.0019,0.0047,0.0,0.0,0.0,0.0001,0.0,-0.0002,-0.0009,-300.0,-0.0,0.0,0.0,0.0
2026-07-22,93.0,96.0,92.0,93.0,2312600,-0.0039,0.0,-0.0133,-0.0002,0.0063,0.0,0.0014,-0.0,0.0,-0.004,0.0184,-0.0497,0.0019,0.0258,0.0014,-0.0,0.0003,0.0027,0.0089,0.003,0.0,0.0,0.0,0.0019,0.0047,0.0,-0.0,0.0,0.0,-0.0,300.0,0.0,-0.0056,0.0,0.0,0.0,0.0,0.0
2026-07-23,94.0,99.0,92.0,97.0,2790000,-0.0049,0.0,0.0943,-0.001,-0.0004,0.0054,-0.006,-0.0,0.0,-0.0082,-0.0001,-0.0185,-0.0,-0.0268,-0.0019,400.0,-0.0001,-0.0028,-0.0232,0.0,0.0,-0.0047,0.0,0.0068,-0.0068,0.0001,0.0,-0.0002,-0.0001,-0.0005,-0.0,0.0001,-0.0003,0.0,0.0,0.0,0.0,0.0
2026-07-24,93.0,95.0,93.0,95.0,476900,0.0,0.0,-0.001,-0.0005,0.0,-0.0009,-0.0004,0.0,0.0,0.0102,0.0049,-0.015,0.0,0.0039,0.0,0.0001,-0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
