Date,Close,High,Low,Open,Volume,NI,RO,XA,HD,OD,YB,DR,SQ,YP,XC,LG,KK,AK,XL,AT,CD,EP,DH,PD,BQ,IF,AZ,KI,GR,CC,CP,QA,HP,AI,TP,RG,MG,BR,YJ,LS,YU,ES,RF,OK,TF,AG,MU
2026-07-13,89.0,100.0,84.0,85.0,67326500,-0.0087,0.0001,0.0015,0.0049,-0.013,-0.0064,-0.0026,0.0166,-0.5495,0.1999,0.001,0.0072,0.0,0.3129,-0.0468,0.0027,0.0063,-0.0023,0.0249,-0.0077,-0.0448,0.0015,-0.0003,-0.0204,0.1029,-0.0259,0.0011,0.0002,0.0,0.0263,0.0024,0.0075,0.0,0.0,0.0,-0.0062,0.0009,-0.0044,0.0084,0.0005,0.0093,0.0001
2026-07-14,87.0,90.0,84.0,90.0,7872500,-0.011,-0.0004,0.0,0.0003,0.0338,-0.0027,-0.002,0.0038,0.0132,-0.0073,-0.0015,0.0054,0.0,-0.0461,0.0,0.0,-0.0009,-0.0003,0.0154,0.0021,0.0,0.0011,0.0,0.0148,-0.0144,-0.0036,-0.0001,-0.0002,0.0,-0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,86.0,89.0,85.0,87.0,5608400,-0.0086,0.0001,-0.0082,-0.0054,-0.0071,0.0005,-0.0081,-0.0037,0.0736,-0.0153,-0.0009,0.0018,0.0025,-0.0626,0.0392,0.0,0.0001,0.0002,-0.0084,0.0219,0.0,0.0043,0.0,0.0,-0.0248,0.0055,0.0009,0.0,0.0,0.0012,0.0,0.0001,0.0,0.0013,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,84.0,88.0,84.0,87.0,4183800,0.0053,0.0003,0.0002,0.0001,0.0041,0.0038,0.0071,-0.0008,0.0264,0.0136,0.0,-0.0119,-0.0012,-0.04,-0.007,0.0,0.0,0.0,-0.0355,0.024,0.0,0.0,0.0,0.0046,0.0106,0.0046,0.0004,0.0003,-0.0092,0.0004,-0.0022,0.0018,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,83.0,85.0,82.0,85.0,3277500,0.0005,0.001,0.0005,-0.0002,0.021,-0.0012,-0.0034,-0.0102,0.0029,-0.0628,-0.0008,0.0003,0.0003,0.0041,0.0004,-0.0025,-0.0001,0.0332,-0.0219,0.0039,-0.0001,-0.0001,0.0,0.0127,0.0233,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,100.0,103.0,84.0,85.0,174042100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,93.0,114.0,92.0,103.0,90163300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,93.0,96.0,91.0,94.0,10222400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,92.0,99.0,92.0,94.0,18439400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,91.0,93.0,86.0,92.0,8256200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
