Date,Close,High,Low,Open,Volume,NI,XA,CC,OD,YB,PG,SH,DR,SQ,YP,SS,DX,HP,XC,LG,FS,KK,KZ,YJ,SA,XL,AI,DH,AZ,IF,RG,MG,LS,CP,BK,RO,RB,YU,AK,RF,ZP,TF,EP,TP,CD,PD,BB,AG,KI,BR,GR,RX,HD,AO,FZ,QA,EL,AT,DD,SF,PP,BQ,DP,IH,AR,RS,GA,PC,MI,IU,OK,ES,BS,BF,IN,ID
2026-07-13,3530.0,3570.0,3370.0,3420.0,51536900,1.8,-0.0979,-12.3,10.5,0.2961,0.0,0.0,-0.78,-5.9,-2.9,4.6,5.6,-0.0843,-1.9,8.0,0.0,-0.0929,-27.5,0.0,0.0,-6.5,-0.1578,-0.3958,-5.1,-0.1312,0.0,0.9372,-0.1124,0.6218,-0.9884,0.0,0.0,29.4,8.0,0.0,-9.0,0.0,-0.8255,3.0,-1.3,0.3655,5.5,0.0147,-0.6916,0.0,1.8,-0.0748,-0.1525,0.0,-1.1,0.0,0.0,0.0,0.0085,0.0054,0.0,-0.3556,-2.1,0.0823,0.0,0.0,0.0,0.0007,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,3470.0,3560.0,3460.0,3550.0,48830900,-2.1,1.6,-6.1,2.9,-0.0746,0.0261,0.8881,-0.5056,-1.4,0.922,0.0088,-1.5,0.01,0.7549,-2.9,-0.0123,0.1418,5.6,0.0221,0.0351,3.6,-0.6878,-1.3,-1.6,-0.307,0.0,-0.7851,0.0,-2.9,-4.4,0.0692,0.0,34.0,-44.5,0.0,-2.5,0.0,1.8,-0.8139,0.0256,6.1,-0.2245,-0.1469,0.2644,0.0,9.2,0.0,-0.0267,0.0,-0.355,-0.0053,0.0,5.0,0.0122,0.0,0.0,-0.3398,0.9997,0.0,-0.035,1.2,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,3460.0,3540.0,3460.0,3490.0,34196500,-3.8,0.2773,7.8,-0.6731,0.5192,-0.0011,0.0,-0.3758,-1.5,3.4,0.0,0.089,0.0483,0.7861,-0.6289,0.0,0.2848,0.0,0.721,0.0,2.4,-0.995,1.1,-0.0212,-0.1983,0.0,0.354,-0.0004,3.5,6.5,-0.0132,0.1735,9.5,1.8,0.0,-30.7,0.0,1.7,-0.2247,-0.0003,1.2,1.0,-0.5086,-0.042,0.0,-2.8,0.0,0.0113,0.0173,0.0135,0.0,0.0,-0.0109,0.0105,0.0,0.0,-0.7367,0.0,0.0,0.0174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,3500.0,3540.0,3460.0,3460.0,49344600,-2.3,-3.7,-4.1,-0.9056,-0.4955,0.0,0.0,0.0709,-0.8761,-5.0,0.007,-0.1292,0.0,-0.0583,-1.7,-0.0353,2.3,-42.8,0.3429,0.351,-3.7,10.4,-2.2,0.2202,-0.0306,0.0,3.8,0.0,-0.2935,-4.4,-0.1636,0.0,19.3,19.5,0.0,4.9,0.0,-2.2,0.2695,0.1468,9.9,-0.2032,0.1723,-0.2462,0.0,1.7,3.9,0.8508,0.0,0.0,0.001,0.1408,0.0248,0.0035,0.0003,-0.8477,-0.4291,-1.5,-0.0823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,3580.0,3640.0,3470.0,3510.0,102411200,8.7,0.421,-19.4,-1.2,0.5367,-0.1244,1.1,0.3357,-2.0,4.2,-0.5737,-5.7,0.01,1.6,-0.3117,0.1901,-0.2285,-27.1,1.4,0.296,-1.6,1.5,-1.7,8.4,-2.0,-0.2023,18.9,-0.2392,15.5,-7.4,-0.1024,0.247,38.7,25.8,16.5,-77.2,0.0247,0.4269,-0.3932,-0.1457,-2.2,4.0,-0.1349,5.0,0.286,-3.1,2.6,-0.3356,-1.5,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,3590.0,3650.0,3580.0,3600.0,71579400,-5.8,1.5,-7.9,1.4,-0.6953,-0.018,0.0,-0.2946,7.7,3.3,0.0,10.9,-0.325,1.1,0.0295,-0.1807,0.1743,20.5,0.1373,0.0,9.9,5.4,0.0929,4.8,-0.1824,-0.0148,-0.8526,-0.0043,0.0854,8.8,0.0382,0.0,-49.4,-34.7,0.0,21.8,-0.036,7.4,2.3,0.2811,-2.5,-0.0973,-0.0742,-0.0324,-0.36,-2.4,0.1016,-0.5968,-0.2389,0.0,0.0,0.1438,0.0234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,-0.0353,0.0,-1.4,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,3620.0,3650.0,3570.0,3620.0,61348500,-1.6,-0.406,40.4,-2.9,0.0,0.0542,0.0,-0.2064,1.6,-1.5,0.0054,21.8,-0.0731,3.4,-0.4579,0.0,0.6619,-1.1,0.0597,0.0,2.8,-0.3237,0.0466,-4.7,0.0,0.0,4.0,0.0,-7.9,37.1,0.1421,0.09,-2.1,-1.9,-45.5,2.6,0.018,-2.6,-34.2,-0.0322,2.2,-10.8,3.5,0.0,0.0,-0.2616,-1.0,0.0161,-0.478,0.0,0.0,0.0,0.0151,0.0,0.0,0.0,-0.1413,0.0,0.0,0.0029,0.025,0.0,0.0079,0.0022,-9.1,-0.1267,0.0,0.0,0.0,10.6,-1.4
2026-07-22,3610.0,3640.0,3550.0,3640.0,45262500,6.8,-0.8943,-6.0,2.3,-0.0312,0.0787,-3.2,0.3226,1.2,1.6,0.0,0.1369,0.0,0.0,1.2,-0.0004,0.1664,44.2,2.2,0.0,3.2,-0.4301,0.31,-9.7,-0.1178,0.0,0.0,0.0,-1.2,-5.1,0.108,0.0,2.7,10.4,0.3133,-12.6,0.0,1.5,0.0677,0.3857,-4.6,-1.2,-25.7,0.0647,0.0,0.1357,0.3418,0.222,-0.0036,-0.732,0.0,0.0,0.1256,0.0,-0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,3600.0,3620.0,3560.0,3610.0,42071600,2.1,-0.3313,5.1,-0.2929,-0.2282,0.1428,0.0,1.2,1.8,-2.6,0.0,0.0244,0.01,-0.7976,-1.9,-0.0144,0.2476,-9.8,0.4971,0.0,2.3,-0.1563,0.8664,-3.6,-0.0502,0.1769,-0.7653,0.2536,-5.5,15.9,0.0711,0.0,16.8,-5.1,0.0,-2.2,0.0,-2.8,0.7176,0.5611,0.4814,15.1,-23.9,0.0236,0.0,-0.0573,-0.0956,-0.0866,0.0,0.0075,0.0,0.0,0.0331,0.0,0.0,0.0,0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3,0.0,0.0,0.0178,0.0,0.0,0.0
2026-07-24,3520.0,3570.0,3490.0,3540.0,38325800,2.4,-0.1527,9.0,0.6828,0.0783,0.0,0.0778,0.3262,-1.8,-0.0359,0.1306,-0.2064,0.0,-2.2,0.0,0.0,-1.9,35.6,-0.1359,0.0,0.2185,0.8465,-0.0606,0.2962,-0.0931,0.0,-1.3,0.0218,0.5053,-0.7385,0.0741,-0.2429,-15.2,-5.3,0.1405,-8.0,0.0,0.5604,0.4905,-8.2,-2.8,-1.4,-0.0153,0.0607,0.0,-1.6,0.0,-0.2088,0.1189,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,-1.2,0.1408,0.7033,0.028,0.14,0.0,0.0
