Sektor,Sub_Sektor,Ticker,Ticker_YF,Link
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,AMRT,AMRT.JK,https://stockbit.com/symbol/AMRT
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,MLPL,MLPL.JK,https://stockbit.com/symbol/MLPL
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,TAPG,TAPG.JK,https://stockbit.com/symbol/TAPG
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,MPPA,MPPA.JK,https://stockbit.com/symbol/MPPA
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,MIDI,MIDI.JK,https://stockbit.com/symbol/MIDI
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,LAPD,LAPD.JK,https://stockbit.com/symbol/LAPD
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,RANC,RANC.JK,https://stockbit.com/symbol/RANC
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,DMND,DMND.JK,https://stockbit.com/symbol/DMND
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,HERO,HERO.JK,https://stockbit.com/symbol/HERO
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,PCAR,PCAR.JK,https://stockbit.com/symbol/PCAR
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,EPMT,EPMT.JK,https://stockbit.com/symbol/EPMT
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,AMMS,AMMS.JK,https://stockbit.com/symbol/AMMS
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,SDPC,SDPC.JK,https://stockbit.com/symbol/SDPC
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,KMDS,KMDS.JK,https://stockbit.com/symbol/KMDS
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,BUAH,BUAH.JK,https://stockbit.com/symbol/BUAH
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,DAYA,DAYA.JK,https://stockbit.com/symbol/DAYA
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,WICO,WICO.JK,https://stockbit.com/symbol/WICO
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,MAMIP,MAMIP.JK,https://stockbit.com/symbol/MAMIP
Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,GWAA,GWAA.JK,https://stockbit.com/symbol/GWAA
Barang-Konsumen-Primer,Makanan-Minuman,INDF,INDF.JK,https://stockbit.com/symbol/INDF
Barang-Konsumen-Primer,Makanan-Minuman,ICBP,ICBP.JK,https://stockbit.com/symbol/ICBP
Barang-Konsumen-Primer,Makanan-Minuman,AALI,AALI.JK,https://stockbit.com/symbol/AALI
Barang-Konsumen-Primer,Makanan-Minuman,JPFA,JPFA.JK,https://stockbit.com/symbol/JPFA
Barang-Konsumen-Primer,Makanan-Minuman,MYOR,MYOR.JK,https://stockbit.com/symbol/MYOR
Barang-Konsumen-Primer,Makanan-Minuman,CPIN,CPIN.JK,https://stockbit.com/symbol/CPIN
Barang-Konsumen-Primer,Makanan-Minuman,LSIP,LSIP.JK,https://stockbit.com/symbol/LSIP
Barang-Konsumen-Primer,Makanan-Minuman,RLCO,RLCO.JK,https://stockbit.com/symbol/RLCO
Barang-Konsumen-Primer,Makanan-Minuman,GZCO,GZCO.JK,https://stockbit.com/symbol/GZCO
Barang-Konsumen-Primer,Makanan-Minuman,FORE,FORE.JK,https://stockbit.com/symbol/FORE
