Date,Close,High,Low,Open,Volume,HP,EP,FZ,SQ,GR,YP,AI,CC,LG,OD,AT,CP,KK,TP,XL,XA,YB,BQ,XC,PD,AK,NI,AO,RO,AZ,DH,MG,FS,AG,PO,DR,QA,IF
2026-08-24,64.0,68.0,59.0,67.0,11812300,-0.007,0.0006,-0.0026,0.0252,0.0038,-0.0102,-0.0064,0.0246,-0.0003,0.0122,0.0291,-0.0379,0.0239,0.0014,-0.202,0.0002,0.0117,-800.0,0.0249,0.0178,-0.0063,-0.0012,0.0064,0.0,0.0184,0.0,0.0589,0.0,0.0011,0.0,0.0132,0.0005,-0.0
2026-08-26,61.0,64.0,61.0,64.0,9159400,0.0155,0.1188,-0.0,0.0185,0.0031,-0.1545,0.0,0.0287,0.0109,-0.0025,0.0217,-0.0291,0.0209,0.0001,-0.0393,0.0,-0.0001,-0.0065,-0.0117,-0.0062,-0.0005,0.0134,-0.0095,0.0,0.0006,-0.0155,0.0087,0.0,0.0005,0.0002,0.014,0.0,0.0
2026-08-27,64.0,65.0,60.0,61.0,3522000,0.0,0.0,0.0,-0.0061,-0.0044,0.0238,0.0,-0.0075,0.0004,0.01,0.0011,0.0126,-0.0364,0.0,0.0573,0.0,-0.0084,-0.0047,-0.0034,0.0026,0.0001,-0.0056,-0.0064,0.0,-0.0182,-0.0024,-0.0047,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,63.0,65.0,62.0,65.0,2230300,-0.001,0.0006,-0.0001,-0.0189,0.0032,0.0069,-0.0125,-0.0321,0.0001,-0.0001,0.0013,0.0012,0.0078,-0.0011,0.0312,0.0001,-0.0,-0.002,-0.007,-0.0068,-0.0011,-0.0014,0.0315,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
