Date,Close,High,Low,Open,Volume,YU,MG,AG,CC,HD,NI,DR,MU,XC,AZ,PD,YJ,DH,XA,SH,RO,YP,DX,OD,ZP,AK,RG,EL,YB,LG,KK,GR,FO,TP,XL,CP,HP,AI,QA,SQ,KI,ES,BQ,BK,EP,DU,GI,TF,AT,LS,IF,RB,PG,IU,AO,FS
2026-08-24,146.0,151.0,144.0,150.0,15347500,-0.0503,-0.0306,0.0,0.0727,0.0,0.0086,0.0147,0.0145,0.0242,-0.051,0.0848,-0.2079,0.003,-0.0035,0.0,-0.0003,-0.2812,0.0058,0.0035,0.0175,0.0258,0.0,0.0,0.0114,0.005,-0.0056,0.0151,0.0,0.0813,-0.0068,0.1826,-0.0432,0.0662,0.0015,0.0094,0.0219,-0.0012,-0.0158,0.0072,0.0317,0.0,0.0,0.0,-0.0046,0.0,0.0,0.0,0.0,0.0,-0.0066,0.0004
2026-08-26,129.0,147.0,128.0,145.0,43667300,0.0929,-0.0881,0.0,-0.3048,-0.0277,-0.0548,-0.1167,0.0135,0.0561,0.1108,-0.0617,0.0073,-0.0015,-0.0789,0.0,0.0183,0.0445,0.007,0.0416,-0.0185,0.6319,0.0128,0.0,-0.0334,0.0017,0.0458,-0.1132,0.0,0.015,-0.4107,-0.2068,0.0073,0.1509,0.0005,0.0151,0.0,0.0006,-0.0148,-0.0024,0.0482,0.0026,0.0,-0.0009,0.0056,0.1007,-0.0088,0.1104,0.0259,-0.017,-0.0069,0.0
2026-08-27,139.0,141.0,129.0,129.0,42898800,-0.0487,0.0159,0.0,0.0428,0.0,0.024,0.0318,-0.0003,0.091,-0.0269,0.1566,-0.0001,0.0171,-0.0002,-0.0015,0.0003,0.0324,0.0014,-0.0476,-0.035,-0.3167,-0.0015,0.0,0.0137,-0.0354,0.0611,0.0769,0.0,-0.0071,0.1048,-0.0111,0.0128,-0.0205,-0.002,-0.0015,-0.0006,-0.0004,0.005,-0.004,-0.0009,-0.0027,-0.0,-0.001,0.0001,-0.1016,-0.0203,0.0,0.0,0.0,0.0,0.0
2026-08-28,139.0,146.0,136.0,141.0,28566200,0.0591,0.0153,-0.0007,0.0663,0.0141,-0.0411,0.009,-0.0008,-0.1164,-0.033,0.049,-0.0,-0.0044,0.0175,0.0439,-0.0002,-0.0489,0.0014,0.0363,0.0035,-0.3728,0.005,0.0075,0.0126,-0.0428,0.048,0.0454,0.0014,0.012,0.2432,-0.0996,0.0101,-0.0017,-0.0001,0.011,-0.0001,0.0001,0.0182,0.0198,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
