Date,Close,High,Low,Open,Volume,DR,MG,BQ,GR,HP,ZR,PC,RO,SQ,OD,YJ,XC,KK,LG,PD,AZ,EP,CC,NI,AI,IF,XL,YP,CP,QA,DX,KI,DH,YB,HD,CD,RB,YU,AT
2026-08-24,188.0,188.0,170.0,172.0,2273300,0.0067,0.0188,-0.0112,0.0,0.0008,0.0,0.0,-0.0,0.0016,-0.018,0.0001,0.008,0.0454,0.0084,-0.1113,0.0005,0.0,-0.008,-0.0132,0.0,0.0012,0.0563,-0.0131,0.0018,0.011,-0.0067,0.0,-0.0,-0.0002,0.0376,0.0,0.0,0.0011,-0.0174
2026-08-26,206.0,206.0,185.0,191.0,4442000,0.0092,0.0206,0.0133,0.0,0.0035,0.0,-0.0,0.0,0.0018,-0.0198,0.1012,0.0116,-0.0514,0.0066,0.0458,0.0001,0.0,-0.2417,-0.0081,0.0,-0.0002,0.1353,-0.007,0.0491,0.0,-0.001,-600.0,0.0001,-0.0041,-0.0488,-0.0159,0.0,0.0,0.0
2026-08-27,226.0,226.0,204.0,206.0,5245900,-0.0076,0.0,0.0074,0.0014,-0.0023,0.0,0.0011,0.0,0.0027,-0.0176,-0.0077,-0.0137,0.0153,0.0,0.0008,0.0064,0.0086,0.0505,-0.0265,0.0018,-0.0,-0.0834,0.0016,0.1384,0.0,0.0,-0.0001,-0.0101,0.0013,-0.0165,-0.0518,0.0,0.0,0.0
2026-08-28,246.0,246.0,212.0,212.0,3565200,0.0106,0.0062,0.0047,0.0023,-0.0026,-0.0012,-0.0012,-0.0008,0.0005,-0.012,-0.1303,-0.0583,0.0027,-0.0079,0.002,0.0046,0.0067,0.1458,-0.0013,0.0045,-0.0001,0.0408,0.0091,-0.0248,-0.0001,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
