Date,Close,High,Low,Open,Volume,CP,KK,XL,HP,QA,EP,YB,GR,PD,XC,YP,NI,CC,DR,AG,SQ,AI,MG,XA,HD,BQ,AZ,ZP,OD
2026-08-24,32.0,32.0,32.0,32.0,3456400,0.0,0.0,0.0132,0.0,0.0,-0.0135,0.0,-0.0062,0.0031,-0.0168,0.017,-0.0061,-0.0128,0.0406,0.0,-0.001,0.0,-0.0176,0.0,0.0,0.0,-0.0,0.0,-0.0
2026-08-26,31.0,32.0,31.0,32.0,6995400,-0.0096,0.0,-0.0123,0.0,0.0,0.0889,0.0,-0.0065,-0.0098,-0.0027,-0.0448,0.0001,0.003,0.0121,0.0,-0.0251,0.0,0.005,-0.064,0.061,0.0048,0.0,0.0,0.0
2026-08-27,32.0,32.0,31.0,31.0,1897500,0.0,0.0004,0.008,0.0,0.0,-0.0017,0.0,-0.0003,0.004,-0.0307,0.0031,0.0228,0.0026,-0.0066,0.0001,-0.0017,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,31.0,32.0,31.0,32.0,2244900,0.0,0.0012,0.0301,0.0,0.0,-0.0125,0.0007,0.0006,0.0,-0.0014,-0.0063,-0.0218,-0.0015,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
