Date,Close,High,Low,Open,Volume,MG,CC,YP,HD,DR,XL,NI,XC,KK,OD,BR,CP,PD,YJ,DH,YB,QA,SQ,BQ,AG,LG,AZ,AT,EP
2026-08-24,168.0,171.0,165.0,171.0,1282600,0.0,0.0113,-0.0121,-0.0001,0.0002,0.032,0.0003,-0.1028,-0.0135,-0.0003,0.0728,-0.0,-0.0101,0.0427,0.0,0.0,0.0,0.0,0.0022,-0.0004,-0.0158,-0.0023,-0.0034,-0.0006
2026-08-26,160.0,169.0,160.0,168.0,1320300,200.0,-0.0244,0.0079,-400.0,-0.0006,-0.0053,0.0002,0.011,0.0026,-0.0008,0.1214,0.0,0.025,0.0077,0.0003,-0.0297,-0.0,-0.1138,-0.0016,0.0,0.0,0.0,0.0,0.0
2026-08-27,163.0,163.0,159.0,161.0,465000,0.0048,-0.0477,0.001,-0.0001,0.0,-0.0045,0.0,0.0432,0.0,0.0,0.0028,0.0011,-0.0003,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,160.0,164.0,160.0,163.0,714600,0.0204,-0.0376,0.0015,800.0,0.0009,0.0061,-0.0067,0.0068,-0.005,-0.0033,0.0141,-0.0004,-0.0028,0.0081,-0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
