Date,Close,High,Low,Open,Volume,YU,AG,MG,CC,HD,NI,DR,XC,AZ,FZ,GI,PD,DH,XA,RO,AT,YP,OD,ZP,AK,FS,YB,LG,KK,GR,TP,IF,AO,XL,CP,HP,QA,SQ,KI,BQ,BK,EP,AI,ES,OK,DU
2026-08-24,99.0,106.0,96.0,98.0,71638700,-0.0086,0.0001,-0.2084,-0.343,-0.0179,0.0643,-0.0162,0.0516,-0.0049,0.0,-0.0255,-0.0011,0.0031,0.0256,-0.0002,0.0139,0.2611,0.0401,-0.0005,-0.0057,-0.0005,-0.0063,0.0253,-0.1063,0.023,-0.0005,0.0,-0.002,0.2153,-0.0577,0.0,-0.0037,0.0515,0.0012,0.0574,-0.0172,-0.0276,0.0193,0.001,0.0,-0.0
2026-08-26,96.0,104.0,96.0,99.0,52454300,0.0054,-0.0,0.0071,0.3087,-0.0007,0.0222,0.0296,0.0355,-0.0022,0.0001,0.0,0.0025,-0.0005,-0.0157,0.0,-0.0122,0.0152,-0.0214,0.0008,-0.0591,0.0005,-0.0213,-0.0216,-0.0677,-0.0029,0.0005,-0.0003,0.019,-0.136,0.0236,0.0,-0.002,-0.0021,0.0,-0.0975,-0.0,0.025,-0.0198,-0.001,-0.0118,0.0
2026-08-27,99.0,99.0,94.0,95.0,15820000,0.0,0.0,-0.0068,0.03,0.0017,-0.0425,0.001,-0.0568,-0.0026,0.0,0.0192,-0.0207,-0.0019,0.0,0.0,0.0,0.1123,0.0152,-0.0005,0.1257,-0.0005,-0.0011,0.0011,0.0022,-0.0005,-0.0005,0.0,-0.0002,-0.2044,-0.0422,0.0,-0.0013,0.0332,-0.0042,0.0534,0.004,-0.0004,-0.0119,0.0,0.0,0.0
2026-08-28,101.0,102.0,98.0,99.0,17813200,0.0001,-0.0178,-0.0022,0.0364,0.001,0.0032,-0.0137,-0.0161,0.0073,-0.0001,-0.0205,0.1191,0.0033,-0.0074,-0.0001,0.0138,-0.1232,-0.027,-0.0003,-0.0956,-0.0003,-0.0062,0.0828,-0.0382,-0.0528,-0.0003,-0.0131,0.0009,0.1515,-0.0181,0.001,0.0037,0.0534,-0.0022,-0.026,0.0093,-0.0058,0.0,0.0,0.0,0.0
