Date,Close,High,Low,Open,Volume,LG,HD,PD,CP,RO,HP,NI,SQ,EP,QA,DR,XL,GR,CC,KK,RF,YJ,YP,XA,DH,OD,XC,TP,BQ,YB,MG,AZ,DX,ZR,YU,AT,DU,IF,KI,AG
2026-08-24,80.0,82.0,79.0,81.0,9893200,-0.0,0.0004,0.0086,0.0004,0.0001,0.0,0.0218,-0.008,-0.0084,-0.0001,-0.0021,-0.0219,-0.0008,0.0555,-0.0057,0.0,0.0,0.236,0.0016,0.0,-0.0527,-0.0057,0.0079,0.0002,0.0028,0.0057,-0.0008,-0.0059,0.0,-0.0,-0.0081,-0.03,0.0006,-100.0,-0.1913
2026-08-26,80.0,82.0,80.0,81.0,6863700,0.0,-0.0004,-0.0009,0.0044,0.0,0.0,-0.0038,-0.0707,0.0,-0.0008,-0.0118,-0.0336,0.0144,-0.101,-0.0161,0.0,-0.0089,0.2715,0.0035,0.0,-0.0081,-0.0163,0.0,-0.0063,-0.0089,0.0,0.0,-0.0036,-0.0,-0.0026,0.0,0.0,0.0,0.0,0.0
2026-08-27,80.0,81.0,79.0,80.0,7776100,0.0,0.0006,-0.0017,0.0035,-0.0,0.0,-0.0,0.0139,0.0002,0.0,-0.0064,-0.0474,-0.0016,-0.3938,-0.0171,0.0,-0.0071,0.436,0.0018,0.0,-0.0032,0.0269,0.0,-0.0044,0.0018,-0.0056,-0.0044,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,80.0,81.0,79.0,80.0,3848200,-0.0002,-0.0027,-0.0184,0.005,0.0,-0.0079,0.0313,0.022,0.0002,0.0021,-0.0003,-0.0365,0.0134,-0.0087,0.0035,-0.0048,0.0008,0.1283,-0.0052,0.0,-0.0,-0.1284,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
