Date,Close,High,Low,Open,Volume,AT,XL,LS,KK,DR,HP,LG,DH,YU,QA,NI,IF,XA,KI,ZP,PI,YP,SQ,CC,EP,DX,AG,MI,BQ,PD,OD,BK,RO,XC,TP,GR,HD,FZ,IU,AZ,RG,KZ,CP,FS
2026-08-24,50.0,50.0,50.0,50.0,7613300,0.0001,0.0358,0.0,0.0037,0.0001,0.0,0.0002,0.0006,0.0569,0.0001,0.0058,0.0,0.0,0.0001,0.0006,-0.0088,0.0478,0.0031,0.0306,0.004,0.0003,0.0,0.001,0.0,0.0123,0.0034,0.0006,0.0005,0.03,0.0977,0.0017,-0.25,0.0,0.0,-0.0791,0.0,0.0,0.0,0.001
2026-08-26,50.0,50.0,50.0,50.0,4339200,0.0001,0.0314,0.0,0.0002,0.0,0.0,0.0001,0.0001,0.0,0.0003,0.0006,0.0,0.0,0.0004,0.05,-0.0003,0.0146,0.0011,0.0324,0.0,0.0,0.0,0.005,0.0002,0.0308,0.021,0.0,0.0008,0.0264,0.0,0.0013,-0.0982,0.0,0.0,0.0001,0.0,0.0,-0.1184,0.0
2026-08-27,50.0,50.0,50.0,50.0,15706300,0.0,-0.1071,0.0,0.0162,0.001,0.0,0.0001,0.0001,0.0003,0.001,0.0257,0.0005,0.0,0.0001,0.0,-0.0094,0.2606,0.0257,0.0247,0.0016,0.0003,0.0,0.001,0.0005,0.0357,0.016,0.0,0.0004,0.1771,0.0006,0.0001,-0.2232,0.0001,-0.25,0.0002,0.0001,0.0,0.0,0.0
2026-08-28,50.0,50.0,50.0,50.0,15212100,0.0002,-0.341,0.001,0.0106,0.0006,0.0005,0.0004,0.001,-0.0184,0.0007,0.0105,0.0003,0.011,0.0019,0.0005,-0.056,0.0778,0.0203,0.1056,0.0206,0.0008,0.0001,0.001,0.0003,0.108,-0.0532,0.0552,0.0036,0.0362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
