Date,Close,High,Low,Open,Volume,KK,PD,XL,XC,CC,EP
2026-08-24,4680.0,4680.0,4500.0,4500.0,400,0.0009,0.0,0.0,0.0,0.0,-0.0009
2026-08-26,4540.0,4630.0,4540.0,4630.0,500,0.0005,0.0009,-0.0014,0.0,-0.0,-0.0
2026-08-27,4600.0,4610.0,4550.0,4550.0,900,0.0023,-0.0005,-0.0023,0.0005,0.0,0.0
2026-08-28,4600.0,4600.0,4540.0,4540.0,600,-0.0005,-0.0014,0.0014,0.0005,0.0,0.0
