Date,Close,High,Low,Open,Volume,YP,NI,PD,XC,CC,KK,XL,GR,MG,SQ
2026-08-24,9475.0,9625.0,9400.0,9625.0,3300,0.0,0.0,-0.0198,0.0123,-0.0019,0.0,0.0113,0.0,0.0,-0.0019
2026-08-26,9450.0,9475.0,9450.0,9475.0,400,0.0,0.0,-0.0019,0.0,0.0,-0.0009,0.0019,0.0,0.0019,-0.0009
2026-08-27,9425.0,9425.0,9400.0,9400.0,1200,0.0,0.0,-0.0056,-0.0,0.0056,0.0,-0.0009,0.0009,0.0,0.0
2026-08-28,9400.0,9400.0,9400.0,9400.0,2300,0.0066,0.0009,-0.0207,0.0019,0.0019,0.0094,0.0,0.0,0.0,0.0
