Date,Close,High,Low,Open,Volume,AK,TP,YB,MG,AT,XL,HD,ZR,PD,KK,FS,DR,LG,DH,QA,NI,AI,IF,KI,XA,SA,YP,SQ,AZ,CP,CC,EP,AG,BQ,XC,GR,OD,BK,RO,ZP,AD,YJ,DX,AO,RG,YU
2026-08-24,110.0,111.0,107.0,108.0,108738900,0.7841,0.0065,-0.0206,-0.0839,-0.0031,-0.1326,-0.0008,0.0,-0.046,-0.1195,0.0,-0.0318,0.0,0.0,0.0003,0.0094,0.0,0.0,0.0,-0.0141,-0.0056,-0.2861,0.0061,-0.0406,-0.1044,-0.1918,-0.0029,0.8616,-0.0017,0.0342,-0.0005,-0.0312,-0.1243,0.0011,-0.4491,-0.0113,0.0,0.0,-0.0047,-0.0001,0.0036
2026-08-26,109.0,111.0,108.0,109.0,146288700,0.0612,-0.0287,0.0001,-0.0691,0.0094,0.4244,-0.0065,0.0,-0.2417,0.0978,0.0,-0.0006,0.0009,-0.0324,-0.0032,0.0055,0.0,0.0,0.0,0.0169,-0.008,-0.0801,0.0177,-0.0096,-0.0024,0.293,-0.0081,-0.4476,0.0096,-0.0454,-0.0072,0.0216,0.0468,0.0002,-0.0137,0.0,0.0,-0.0,-0.0003,-0.0004,0.0
2026-08-27,109.0,110.0,107.0,108.0,126991700,0.6846,-0.0003,0.0,-0.0055,-0.0033,-0.4915,0.0143,0.0,0.0105,0.0041,0.0,0.0,0.0243,-0.0002,-0.0,0.0142,0.0,0.218,0.0001,-0.0188,-0.008,-0.0607,0.0078,0.005,-0.0312,0.0717,0.0137,-0.4916,-0.0115,-0.006,0.0033,0.0137,0.0595,0.0002,0.0,-0.0165,0.0,0.0,0.0,0.0,0.0
2026-08-28,111.0,114.0,108.0,109.0,141098300,-0.0537,0.0983,-0.0058,0.0012,-0.0007,-0.8795,-0.0147,0.0068,-0.0725,-0.1559,-0.0058,-0.0113,0.021,-0.0333,100.0,0.0017,100.0,-0.1635,0.0,-0.0088,-0.0288,0.0125,0.0312,-0.0022,0.0203,0.1913,-0.023,0.2273,-0.0075,0.0839,-0.0022,0.0183,0.1342,-0.0001,0.6214,0.0,0.0,0.0,0.0,0.0,0.0
