Date,Close,High,Low,Open,Volume,YU,CD,MG,AG,CC,HD,NI,DR,XC,AZ,IH,BB,PD,YJ,RB,XA,RO,YP,DX,OD,RF,MI,PG,ZP,AK,RG,ZR,EL,LG,KK,ID,TP,KZ,IF,AH,IU,XL,CP,HP,AI,QA,SQ,KI,IT,BQ,BK,EP,PI,DH,SH,AT,FS,YB,LS,GR,SF,OK,IN,AO,JB
2026-08-24,2630.0,2770.0,2610.0,2730.0,75434200,14.4,-0.0105,0.6826,0.0,8.9,0.2824,-2.3,-0.4287,1.1,3.7,0.0,22.5,2.1,-3.3,-0.0066,4.1,0.0727,0.9603,0.0,-0.5331,2.5,0.0,0.0,-49.0,-12.3,0.0,0.0688,0.0,-9.2,-0.9343,0.0,1.7,0.0,-0.1933,0.0,-0.0132,-0.4265,2.5,0.0,1.3,-0.0142,0.5421,-0.1277,0.1968,2.6,8.8,-1.8,0.0,-0.2231,0.0,0.1634,0.0,0.7814,0.0,0.2606,0.1355,0.0,0.271,-0.0027,-0.0334
2026-08-26,2480.0,2620.0,2480.0,2600.0,95604500,1.8,-0.0651,-0.5612,-5.4,17.6,0.6954,0.5852,-1.8,0.2859,10.6,0.0,-2.5,2.1,0.7465,0.0,0.1722,0.0,2.3,-0.1881,-8.9,2.6,0.1499,0.373,-36.1,31.5,0.0,0.0,0.0,-7.1,0.2718,0.0,1.9,-9.2,-0.0854,0.0,-0.0621,8.6,-1.9,0.2124,1.9,-0.2867,4.6,0.5236,0.0,0.1355,-9.5,-1.8,0.0,-2.9,0.0,0.1414,0.0,-1.5,0.0,-1.5,0.0,0.125,1.3,0.0,0.0
2026-08-27,2610.0,2610.0,2470.0,2480.0,51174100,1.1,-0.0317,0.7813,0.0317,-3.5,-0.5658,-0.1568,0.7476,-0.9289,7.2,0.0,0.0,2.1,3.6,0.0,-0.2275,-0.0336,1.6,5.8,-0.1765,0.0,-0.1523,-0.2575,-2.0,-16.3,0.1285,0.0,0.4165,-14.6,-0.1518,0.0,0.9439,0.1289,1.2,0.0254,0.2841,2.5,0.7736,-0.1828,1.3,0.1048,-3.2,-0.1846,0.0,-5.7,12.2,-0.0197,-0.0103,0.0443,5.1,-0.0796,0.0251,-0.4094,-0.0987,1.0,-0.129,-0.13,0.0,0.0,0.0
2026-08-28,2530.0,2610.0,2480.0,2600.0,65254200,-14.3,-0.0089,1.1,0.4523,2.5,0.2109,3.1,-1.2,2.7,7.5,0.126,0.265,14.8,1.8,-0.0013,-0.0389,-0.0112,1.0,-2.3,1.4,-0.0001,0.2499,-0.0015,-5.4,-21.9,-0.0025,-0.0005,0.5361,-22.5,0.4788,-0.0004,2.4,-4.1,-1.1,-0.0258,-0.2539,8.9,-1.0,-0.0377,2.7,-0.0008,4.0,0.5195,0.1509,0.343,15.7,0.8038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
