Date,Close,High,Low,Open,Volume,MG,HD,LG,PD,GR,CC,KK,YJ,YP,XA,YB,EP,NI,OD,DH,XC,XL,AR,AZ,CP,SQ,DR,TP,YU,KI,RO,FZ,AG
2026-08-24,202.0,212.0,202.0,210.0,355900,0.0059,-400.0,0.0,0.0027,0.0,-0.0053,-0.0028,0.0,-0.0017,0.0,-0.0002,0.001,0.006,0.0,0.0,-0.0015,0.0177,0.0041,0.0031,0.0,0.0,-0.0101,0.0,0.0,0.0,600.0,-0.0189,0.0001
2026-08-26,200.0,204.0,199.0,204.0,393000,0.0,0.0001,0.0,-0.0047,0.0,0.0043,0.0021,0.0041,0.0021,0.0,0.0,-0.009,-0.0014,0.001,-0.01,0.0022,-0.006,0.004,0.001,0.0001,0.0012,0.0,0.0,0.009,-0.0,0.0,0.0,0.0
2026-08-27,200.0,202.0,198.0,200.0,381700,0.0,-0.0001,0.0,0.0007,0.0175,-0.0195,0.0,0.0,0.0004,0.0,0.0,-0.0087,-0.0028,0.0,-0.0009,0.0142,0.0211,0.006,0.002,-0.003,0.0022,-0.0293,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,204.0,212.0,200.0,200.0,984400,-0.0061,0.1163,-0.0006,-0.0022,-0.0107,0.0019,0.0,0.0121,0.0027,-0.1163,-0.0041,0.0027,0.001,0.0001,-0.0087,0.0007,0.009,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
