Date,Close,High,Low,Open,Volume,TP,AT,XL,HD,PD,KK,FS,DP,LG,DH,YU,QA,FZ,NI,XA,KI,BB,YP,SQ,AZ,AF,CP,CC,EP,DX,XC,GR,OD,RO,ZP,DR,AK,LS
2026-08-24,192.0,194.0,191.0,193.0,508600,0.0,0.0,0.0456,0.0001,-0.0309,-0.003,0.0,0.0,0.0,0.0176,-0.026,0.0,0.0,-400.0,0.0,0.0,0.0,0.0033,-0.0015,0.0022,0.0,0.0003,-0.0131,0.0,0.0,0.0019,0.0,0.0028,0.0001,0.0001,0.0006,0.0,0.0
2026-08-26,191.0,194.0,190.0,194.0,437500,0.001,0.0,0.0081,-0.0001,0.0118,-0.0215,0.001,0.0,0.0,0.0187,-0.0146,0.0,0.0,0.0004,0.0,-0.0007,0.0,0.0016,0.0033,-0.0059,0.0,0.0001,-0.0062,0.0003,0.0,-0.0002,0.0,0.0107,0.0001,-0.0076,0.0,-0.0002,0.0
2026-08-27,192.0,194.0,190.0,194.0,1529000,0.0,0.0,-0.0884,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0185,-0.0328,0.0,0.0,0.01,0.0,-0.0104,0.0,-0.0091,-0.0049,0.0,0.0,0.0707,0.1124,0.0,0.0,0.0182,-0.1135,-0.0004,0.0,0.0291,0.0008,0.0,0.0
2026-08-28,194.0,194.0,189.0,193.0,8925200,0.0105,-0.0129,0.1486,-0.0,-0.0039,-0.0002,0.0009,1.0,-0.0001,-0.0729,-0.1509,0.0001,-0.4655,-0.0,0.0001,0.0002,-0.5375,-0.0809,0.006,-0.0326,0.19,-0.016,-0.0689,-0.0006,0.0002,0.0039,0.0154,0.0255,0.0016,0.001,0.0,0.0,0.0
