Date,Close,High,Low,Open,Volume,CC,XL,XC,GR
2026-08-24,3810.0,3810.0,3800.0,3800.0,400,0.0011,0.0,-0.0008,-0.0004
2026-08-26,3810.0,3810.0,3810.0,3810.0,0,,,,
2026-08-27,3810.0,3810.0,3810.0,3810.0,0,,,,
2026-08-28,3810.0,3810.0,3810.0,3810.0,1000,0.0038,-0.0038,0.0,0.0
