Date,Close,High,Low,Open,Volume,TP,NI,YP,MG,XL,HD,PC,CC,DR,PD,BQ,XC,ZP,KK,AG,YU,OD,SQ
2026-08-24,675.0,725.0,655.0,690.0,114200,0.0,0.0,0.0,0.0007,-0.0048,0.0028,0.0,0.0093,-0.0005,0.0003,0.0,-0.0004,0.0,0.0,0.0,-0.0071,-0.0003,0.0001
2026-08-26,670.0,740.0,660.0,675.0,18700,0.0,0.0,0.0,0.0,-0.0005,0.0,0.0,-0.0086,0.0,0.0012,0.0,0.0079,0.0,0.0,-0.0,0.0,0.0,0.0
2026-08-27,700.0,700.0,640.0,675.0,1567800,-1.0,0.0,0.0,0.0,0.0037,0.0015,0.0,-0.0001,-0.0014,-0.0014,0.0,-0.0009,1.0,-0.0024,0.0,0.0,0.0,0.0
2026-08-28,690.0,755.0,670.0,695.0,1588000,-1.1,-0.0012,0.0001,-0.0002,0.0052,0.0014,-0.002,-0.0012,-0.0014,-0.0004,-0.0,-0.001,1.1,0.0,0.0,0.0,0.0,0.0
