Date,Close,High,Low,Open,Volume,FZ,XA,YB,YP,XL,SQ,CP,AZ,CC,DX,KK,AG,BQ,PD,XC,OD,AO,ZP,MG,DR,IF,NI,EP,YJ
2026-08-24,167.0,169.0,164.0,169.0,613600,0.0,-0.0002,0.0,-0.0135,-0.0186,0.0,-0.0033,0.0,0.0086,0.0,0.0014,0.0,0.0017,0.0004,0.0084,0.0014,0.0,0.0,0.0,0.0226,0.0,-0.0035,-0.0023,-0.0031
2026-08-26,162.0,167.0,161.0,167.0,626100,0.0,0.0,-0.0,-0.001,-0.0065,0.0002,-0.0017,0.0,-0.0341,0.0023,0.0016,-0.0,-0.0014,0.0011,0.0017,0.0002,0.0,0.0022,0.0002,0.0353,0.0,0.0,0.0,0.0
2026-08-27,164.0,173.0,156.0,163.0,1997400,0.0,0.0,-0.0,-0.0057,0.0182,0.0067,-0.0013,0.0,-0.0065,0.0,-0.003,0.0002,-0.0013,0.0027,-0.0047,-0.0019,-0.0017,0.0013,0.0002,-0.0038,-0.0,0.0009,0.0,0.0
2026-08-28,164.0,169.0,162.0,165.0,1486200,0.0008,0.0057,0.0003,-0.0559,0.0704,-0.0001,0.0,-0.0,-0.0233,-0.0024,-0.0007,-0.0002,0.0039,0.0087,-0.0068,0.0001,-0.0025,0.002,0.0,0.0,0.0,0.0,0.0,0.0
