Date,Close,High,Low,Open,Volume,DH,NI,YP,AT,XL,PC,CP,CC,BQ,PD,OD,RO,XC,MG,KK,YU,XA,EP,GR,IF,YJ,DR,AZ,SQ
2026-08-24,278.0,286.0,268.0,284.0,228200,-0.0142,0.0009,0.0052,0.0,0.0158,0.0,0.0,-0.0007,0.0003,0.0002,-0.0001,0.0,-0.0002,0.0,0.0014,0.0,0.0012,0.0003,-0.0105,0.0,0.0,-600.0,0.0003,0.0
2026-08-26,274.0,280.0,270.0,278.0,70200,0.0,0.0001,-0.0004,0.0,-0.0018,0.0001,0.0064,-0.0032,0.0,0.0001,-0.0009,-0.0011,0.0,0.0,0.0008,0.0,0.0011,0.0,0.0,-0.0008,-0.0003,-0.0001,0.0,0.0
2026-08-27,282.0,294.0,268.0,274.0,494300,0.0,-0.0003,-0.0033,0.0,-0.0077,-0.0002,-0.006,-0.0021,0.0188,0.0004,-0.0006,0.0,0.0019,0.0002,0.0035,-0.0029,-0.0005,-0.0013,0.0001,0.0,0.0,0.0,0.0,0.0
2026-08-28,274.0,288.0,272.0,282.0,68800,0.0004,0.0004,0.0011,0.0,0.0033,0.0002,-0.0001,0.0018,-0.0061,-0.0003,0.0008,-0.0002,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
