Date,Close,High,Low,Open,Volume,CP,ZP,NI,SQ,XL,FS,AZ,KI,AG,YP,OD,DH,RG,XC,LG,HD,PD,BQ,HP,EP,AO,RB,RS,DR,BK,MG,YU,AK,GR,CC,KK,YJ,XA,TP,SF,AT,FZ,RO,IF,QA,YB,DX,AI,PG,MU,LS
2026-08-24,390.0,402.0,382.0,400.0,40790100,0.008,-0.039,0.0296,-0.0853,0.067,0.0,-0.0062,0.0002,0.0,0.0314,7.2,0.0073,-0.0004,0.1479,0.492,2.0,0.0761,0.0755,-0.004,0.0215,-0.0043,-0.0004,0.0,0.424,0.0,0.0282,-0.0012,-0.9151,0.004,-1.4,-0.0107,0.0039,-8.1,0.0005,0.0,-0.075,0.0384,0.0002,-0.0001,0.0032,0.0042,-0.0001,0.0,0.0,0.0,0.0039
2026-08-26,406.0,412.0,380.0,390.0,39929300,0.02,0.3683,-0.0113,-0.0001,-0.7017,0.0002,-0.3297,-0.0025,-0.0003,-0.8962,-0.1115,-0.0847,0.0,-0.3857,-0.606,-0.0007,-0.131,0.0039,-0.0813,0.1427,0.0,0.0,0.0,-0.0063,0.02,0.0337,0.0,0.1939,0.0184,0.7324,-0.1771,0.0046,2.3,-0.008,0.0,-0.0031,-0.2319,-0.0004,0.0,-0.0043,-0.0162,0.0,0.0,-0.0043,-0.06,0.0
2026-08-27,406.0,414.0,396.0,406.0,58739000,0.0082,0.0304,-0.0245,-0.1393,0.1446,0.0,-0.0039,-0.0084,4.7,0.0221,-9.9,0.0056,0.0,0.2179,-0.2384,0.0062,0.0339,-0.4891,0.0185,-0.0531,0.0788,0.0,0.0,-0.2001,0.0697,0.0298,0.0047,-0.6819,0.0231,-1.2,-0.0593,-0.0089,7.8,0.0,0.0,0.0062,-0.1744,0.0001,0.001,-0.0007,0.0073,0.0022,-0.0109,-0.001,0.0,0.0
2026-08-28,412.0,420.0,404.0,406.0,33374000,-0.0142,-0.5216,-0.0624,-0.0793,-0.5963,0.0208,-0.0334,-0.017,-0.1002,-0.0703,3.0,-0.0171,-0.0079,-0.2505,-0.2126,-2.0,-0.0589,0.577,-0.0096,0.001,-0.0754,0.0008,0.0612,-0.2311,0.0,-0.0091,-0.0285,-0.1834,-0.0092,-1.0,-0.0225,0.0008,2.0,-0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
