Date,Close,High,Low,Open,Volume,TP,CP,KK,AG,XL,QA,EP,YB,HD,BQ,PD,XC,DH,YP,AK,NI,CC,OD,HP,ZP,SQ,GR,LS,XA,DX,BK,DR,MG,AZ,AI,SH,LG,OK,RO,KI
2026-08-24,124.0,129.0,123.0,125.0,6854300,0.0013,0.0056,-0.0347,0.0,0.1526,-0.0009,0.0049,0.0003,0.0007,0.0013,0.0576,-0.0026,-0.0,0.011,-0.1992,-0.0218,0.0077,-0.0036,0.0026,-0.0032,0.0025,0.0043,-0.0,0.0017,0.0,0.0016,0.0143,0.0,0.0218,-0.0257,0.0,0.0,0.0,-0.0001,-0.0001
2026-08-26,118.0,125.0,116.0,124.0,6697200,0.0001,0.0163,0.0277,0.0,0.084,0.0,0.0235,-0.2156,0.0,0.044,-0.0024,0.0188,0.0037,0.0507,-0.1319,-0.0016,0.0119,0.0061,0.0,-0.0012,-0.0,0.0268,0.0,-0.0003,0.0,-0.0182,0.0187,0.0021,0.0104,0.029,0.0016,0.0006,-0.0045,-0.0,0.0
2026-08-27,122.0,125.0,114.0,118.0,5621200,0.0,0.0068,0.0058,0.0743,-0.0073,0.0,-0.0103,-0.0753,0.0,0.0026,-0.0001,-0.0649,0.0,0.0048,0.0598,0.0529,-0.0391,0.0001,-0.0001,0.0033,-0.0024,-0.0012,0.0,-0.0022,0.0,-0.0066,0.0005,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,122.0,124.0,121.0,122.0,982600,0.0002,-0.0003,0.0061,0.0204,-0.0177,0.0,-0.0142,-0.0132,-0.0001,0.0006,0.0003,-0.0054,0.0001,0.0004,-0.0133,0.0133,0.023,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
