Date,Close,High,Low,Open,Volume,AI,LG,AT,CP,PD,BQ,GI,NI,SQ,QA,DR,XL,YB,AZ,AK,GR,CC,KK,YP,XA,OD,DH,IU,XC,LS,EP,RB,MG,RO,ZP,IF,FS,KI,PG,TP,FZ,SH
2026-08-24,67.0,68.0,65.0,68.0,10255700,0.0,-0.0118,-0.0026,0.0007,-0.0014,-0.0,-0.0001,0.0057,0.0226,-0.0,-0.047,-0.1333,0.0084,0.0002,0.0565,0.0,0.1096,-0.0243,0.0468,-0.0006,-0.001,0.0012,-0.0001,-0.0177,-0.0001,-0.0006,0.0,-0.0067,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0019,0.0001,-0.0027
2026-08-26,64.0,68.0,62.0,67.0,14073600,0.0,-0.0561,0.0032,-0.0154,0.0004,0.0155,-0.0001,-0.0065,0.0064,0.0,0.0,-0.0556,-0.0249,0.0009,0.0232,-0.0001,-0.0181,0.0163,0.0063,0.0,0.0197,0.0011,0.0061,0.0231,0.0088,0.0016,0.0,0.0076,0.0127,0.0029,-0.0095,-0.0,-0.0021,0.0325,0.0,0.0,0.0
2026-08-27,65.0,66.0,62.0,64.0,18041600,0.0,0.0,0.0,0.0148,0.0056,-0.0051,-0.0001,-0.0351,-0.0108,0.0,0.0,0.1163,-0.0001,-0.0001,0.0051,0.0,0.1189,-0.3133,0.084,0.0005,0.008,0.0016,-0.0066,0.0191,-0.0001,-0.0042,-0.0005,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,63.0,65.0,63.0,65.0,5460000,-0.0058,-0.0002,0.0,0.0095,-0.0013,0.0046,0.0019,0.007,0.0118,-0.0002,-0.0005,0.0756,0.0083,0.0,-0.0006,-0.0042,-0.0191,0.0116,-0.0811,0.0022,0.0003,0.0,0.0031,-0.0071,-0.0157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
