Date,Close,High,Low,Open,Volume,PC,EP,HD,SQ,YP,OD,TP,CP,KK,AT,XL,XA,DX,BQ,PD,XC,AK,NI,CC,DR,ZR,RO,ZP,KI,YU,II,DH,IF,GR
2026-08-24,278.0,306.0,274.0,282.0,1453000,-0.0002,-0.0008,-0.0008,-0.0,-0.0447,-0.0009,0.0004,-0.0001,0.0,0.0007,-0.0477,-0.0181,0.0,-0.0,-0.0008,0.0029,-0.0154,0.0186,0.1105,-0.0002,-0.0,0.0012,-0.0093,0.0,0.0,0.0,0.0056,0.0,-0.0007
2026-08-26,276.0,306.0,274.0,278.0,2285800,0.0001,-0.0,-0.0,-0.0001,-0.0269,0.0,0.0001,0.0,-0.0001,0.0,0.0253,-0.0016,-0.0284,0.0152,0.0143,-0.0051,-0.0001,-0.0017,0.0095,0.0021,0.0026,-0.0012,-0.004,-0.0022,-0.0059,-0.0,0.0025,0.0056,0.0
2026-08-27,278.0,286.0,272.0,276.0,301800,-0.0001,-0.0015,-0.0,0.003,-0.0082,-0.0011,-0.0,0.0,0.0001,0.0028,-0.0187,0.0191,0.0,-0.014,0.0041,-0.0029,-0.0001,0.0083,0.0149,0.0,-0.0056,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,274.0,284.0,272.0,282.0,293500,0.0001,0.001,0.0001,-0.0,0.0043,-0.0,0.0083,0.0021,0.0036,-0.0034,-0.0391,0.0082,-0.0037,-0.0,0.0148,0.0098,-0.0001,-0.0131,0.0043,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
