Date,Close,High,Low,Open,Volume,NI,ZP,YB,YP,AZ,XL,CC,EP,KK,PD,XC,OD,RO,SQ,KI,CP,GI,LG,BQ,QA
2026-08-24,520.0,535.0,510.0,520.0,46900,0.0,-0.0021,0.0017,-0.0001,0.0,0.0066,-0.0045,0.0,0.0,-0.0076,0.0039,0.0014,0.0001,0.0005,0.0,0.0,0.0,0.0,0.0001,-0.0001
2026-08-26,520.0,545.0,510.0,520.0,227400,-0.0001,-0.0004,-0.0295,-0.0054,0.0,-0.0107,0.0014,0.0,0.0,-0.0042,-0.0186,-0.0131,0.0,0.0664,0.0089,0.0059,-0.0001,-0.0005,-0.0,0.0
2026-08-27,520.0,530.0,510.0,530.0,169400,0.0003,0.0,0.0,-0.0011,0.0,0.0157,0.0008,0.0,-0.0658,0.0085,-0.0038,0.0,0.0,0.051,0.0002,-0.0057,0.0,0.0,0.0,0.0
2026-08-28,510.0,520.0,496.0,520.0,149200,0.0003,0.0002,0.0045,0.0019,0.0001,-0.0043,-0.014,-0.0001,0.016,0.0084,-0.0163,0.0017,0.0001,0.0016,0.0,0.0,0.0,0.0,0.0,0.0
