Date,Close,High,Low,Open,Volume,TP,YB,AT,XL,HD,MG,KK,YJ,DR,LG,DH,YU,NI,XA,KI,YP,AZ,CP,CC,BQ,PD,XC,OD,RO,ZP,IF,SQ,EP,CD
2026-08-24,189.0,192.0,185.0,189.0,967700,0.0,0.0,0.0,0.0158,-0.0004,-0.0001,0.0,0.0,-0.0,0.0,0.0,0.0,0.0017,0.0,0.0267,-0.055,0.0,-0.0183,-0.0019,0.0028,0.047,-0.0013,-0.0284,0.0,0.0009,0.0093,0.0,0.0,0.001
2026-08-26,190.0,190.0,185.0,186.0,2677200,0.0,0.0,-0.0,-0.0155,-0.0002,-0.0146,-0.0087,-0.0093,-0.0124,0.0,-0.0001,0.0,-0.035,0.0133,0.34,-0.0408,-0.0227,-0.0001,-0.0483,0.0,-0.1263,-0.0187,-0.0,0.0,-0.0001,0.0046,-0.0033,-0.0009,-0.001
2026-08-27,191.0,192.0,189.0,190.0,353100,0.0,0.0005,0.0004,0.0037,-0.0,0.0,0.0009,0.0,-0.0074,-0.0004,0.0008,0.0002,-0.0087,0.0,0.0284,-0.0125,0.0089,0.0,-0.0139,0.0,0.0041,-0.0015,-0.0016,0.0,-0.0019,0.0,0.0,0.0,0.0
2026-08-28,194.0,200.0,191.0,192.0,1192600,-0.0019,-0.0005,0.0017,0.0561,0.0001,-0.0097,-0.0008,-0.0002,-0.0142,-0.0004,-0.0001,0.0001,-0.0421,-0.0002,0.0813,-0.0727,-0.0027,-0.0002,0.0089,-0.0001,0.02,-0.0181,-0.003,-0.0,-0.0012,0.0,0.0,0.0,0.0
