Date,Close,High,Low,Open,Volume,YP,LG,AZ,XC,GR,XL,PD,CC,EP,KK,SQ,OD
2026-08-24,680.0,690.0,660.0,690.0,47300,0.0001,0.0011,0.0,-0.0001,0.0001,0.0271,0.0005,0.0002,0.0011,-0.0292,-0.0007,-0.0001
2026-08-26,680.0,685.0,680.0,680.0,4000,0.0001,0.0,0.0,-0.0003,0.0,0.0026,-0.0003,-0.0008,-0.0012,0.0,0.0,0.0
2026-08-27,680.0,690.0,675.0,685.0,50000,0.0003,-0.0088,0.0299,0.0003,0.0,-0.0045,-0.0001,-0.0057,-0.0116,0.0,0.0,0.0
2026-08-28,680.0,690.0,680.0,680.0,41800,-0.0218,-0.0005,0.0228,-0.0003,-0.0014,0.0012,0.0,0.0,0.0,0.0,0.0,0.0
