Date,Close,High,Low,Open,Volume,AK,BQ,GR,MG,SQ,OD,DH,XC,KK,PD,AZ,EP,CC,NI,YB,TP,XL,YP,CP,DR,AO,PI,IN,FS,HD,QA,YJ,IF,ZP,AT,XA
2026-08-24,595.0,605.0,580.0,605.0,1165600,-0.0094,0.0018,0.0,-0.0295,-0.0223,0.0091,0.0,0.0294,0.0,0.1258,-0.0342,0.0087,-0.2006,0.0012,-0.012,0.0,-0.0344,0.1059,-0.0035,0.0,0.0,0.0,0.0053,0.0,0.0,0.0008,0.0586,0.0,0.0,-0.0006,-0.0
2026-08-26,535.0,595.0,525.0,595.0,2441200,-0.0107,0.0111,0.0053,0.0022,-0.0062,0.009,0.0004,0.0113,-0.0025,0.1141,-0.0008,0.0099,-0.2108,-0.0107,-0.0166,0.0,0.253,0.0919,-0.1452,0.0028,0.0,0.0,0.0,0.0,0.0,0.0005,0.0273,0.0014,-0.1368,0.0,0.0
2026-08-27,555.0,570.0,520.0,525.0,2005800,0.027,0.1073,0.0,-0.0196,0.0006,0.0239,0.0,0.0073,0.001,-0.0008,-0.0043,0.0131,0.076,0.0,0.0106,0.0001,0.031,-0.4316,0.1082,-0.0001,0.06,-0.0002,0.0004,-0.0122,0.0003,0.0021,0.0,0.0,0.0,0.0,0.0
2026-08-28,545.0,565.0,535.0,560.0,735900,-0.0042,-0.0067,-0.0093,-0.001,0.0165,0.1118,-0.0004,0.0012,-0.002,-0.0068,0.0055,-0.112,-0.0482,0.0167,-0.0008,0.0275,-0.0045,0.0062,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
