Date,Close,High,Low,Open,Volume,TP,YB,XL,HD,KK,SH,DH,PO,QA,FZ,AI,XA,KI,YU,IF,YP,PC,CC,AR,DX,BQ,PD,GR,OD,IN,XC,RB,AK,MG,AT,RF,YJ,DR,HP,GI,IH,AO,LG,NI,PF,AZ,SQ,CP,EP,AG,RG,RO,ZP,DU,CD,PI
2026-08-24,81.0,84.0,80.0,84.0,17225200,0.0,0.009,0.1669,0.0079,0.0208,0.0001,0.0142,0.0,0.0001,0.0,-0.0,0.0164,0.0004,-0.0467,0.0072,0.0129,0.0,-0.0878,0.0,-0.0008,0.0194,-0.0424,0.0053,0.0115,-0.0,0.0142,0.0,0.0911,-0.0408,-0.0157,0.0,0.0,0.0209,0.0,0.0,0.0,0.0,-0.0142,-0.0628,0.0,-0.0,-0.0141,0.0025,-0.1069,0.0,0.0,0.0,0.0083,0.0,0.0,0.0032
2026-08-26,75.0,81.0,75.0,81.0,19619000,-0.0001,-0.0191,-0.1001,-0.0007,0.0408,0.0,0.005,0.0,0.0,0.0,0.0,-0.0148,0.0019,0.0009,0.0,0.0249,0.0,-0.0719,0.0,0.0,0.0412,0.0066,0.0237,0.0103,0.0,0.0257,0.0,-0.0527,-0.1265,-0.0173,0.0,0.0005,0.1034,0.0,0.0004,0.0,0.0,0.06,0.0214,0.0,0.0356,0.0037,0.0075,-0.0264,0.0102,0.0,0.0,-0.0075,0.0031,0.0103,0.0
2026-08-27,77.0,78.0,74.0,75.0,12074400,0.0,-0.0075,0.0922,0.0007,-0.038,0.0,0.0082,0.0,-0.0014,0.0,-0.0,0.0058,0.0018,0.0,-0.0,0.0137,0.078,0.1858,0.0,-0.0008,0.0001,-0.0265,0.0009,0.0047,0.0,-0.0408,0.0,-0.0115,-0.0588,0.0,0.0,0.0,-0.0371,0.0,0.0,0.0,0.0,-0.0378,-0.0023,0.0,-0.0221,0.0017,-0.0139,-0.1108,0.015,0.0,0.0,-0.0002,0.001,0.0,0.0
2026-08-28,86.0,95.0,76.0,77.0,345164800,0.0399,0.0375,0.8585,-0.0095,0.031,-0.0001,-0.0613,0.0006,0.0066,0.0,0.0223,0.0098,0.0058,-0.0333,-0.0071,-0.1009,-0.081,-0.2855,-0.009,0.0004,-0.0795,0.2449,-0.1501,-0.3949,0.0,0.2596,0.0054,-0.0184,-0.0714,-0.0074,0.0026,-0.0934,-0.1365,-0.0031,-0.0004,0.0108,-0.0209,0.004,0.2944,-0.0001,0.1236,0.0164,0.0465,-0.4128,-0.0367,-0.0,-0.0108,0.0035,0.0,0.0,0.0
