Date,Close,High,Low,Open,Volume,ZP,AO,PD,RF,CC,XL,SQ,YP,KK,XC,NI
2026-08-24,3330.0,3330.0,3300.0,3330.0,1000,-0.0023,0.0017,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,-0.0007,0.001
2026-08-26,3330.0,3330.0,3300.0,3330.0,2400,0.0,0.0023,0.0,0.0,-0.001,0.005,0.0,0.0003,-0.0067,0.0,0.0
2026-08-27,3330.0,3330.0,3270.0,3270.0,9300,-0.029,0.009,-0.0003,0.0007,-0.0007,-0.0003,0.0206,0.0,0.0,0.0,0.0
2026-08-28,3330.0,3330.0,3330.0,3330.0,500,-0.0017,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
