Date,Close,High,Low,Open,Volume,YU,YP,SQ,XL,CC,EP,PD,XC,OD,BQ,CP,RO
2026-08-24,258.0,258.0,246.0,258.0,42600,-0.0,-400.0,0.0,0.0009,-0.0001,0.0,-0.0002,-0.0001,-0.0,-0.0005,0.0,0.0
2026-08-26,244.0,258.0,240.0,250.0,38300,0.0,0.0004,-0.0004,-0.001,-0.0005,0.0,0.0009,-0.0011,0.0,0.0016,0.0,0.0
2026-08-27,256.0,256.0,242.0,242.0,50100,0.0,-0.0,0.0,0.0105,0.0,0.0,0.0,-0.0087,-0.0,-0.0018,0.0,0.0
2026-08-28,254.0,258.0,244.0,256.0,28500,-0.0001,0.0001,-0.0004,0.0012,-0.0007,-400.0,-0.0,0.0,0.0,0.0,0.0,0.0
