Date,Close,High,Low,Open,Volume,AZ,AG,AO,HP,QA,EP,ZP,SQ,GR,LS,KI,YP,DU,LG,OD,AT,CP,KK,XL,XA,YB,BQ,PD,XC,AK,BK,NI,CC,IF,DR,MG,SF,BR,AI,RO
2026-08-24,780.0,790.0,760.0,775.0,31666500,0.0008,1.6,0.0,0.0004,0.0005,-0.2462,-0.9955,0.0001,-0.0,0.0,0.0,-0.8642,2.9,0.0075,0.102,0.0076,-0.0063,-0.0283,-0.3928,-8.8,3.4,-0.0002,-0.5831,0.0399,2.3,0.1718,0.002,1.3,-0.0001,-0.0059,-0.01,0.0,0.0,0.0,0.0002
2026-08-26,775.0,785.0,760.0,780.0,18831700,-0.1041,0.8139,0.0,-0.0306,0.0002,-0.0381,-0.4911,0.0077,0.0,0.0,0.0017,0.0161,0.0,-9.9,-0.8571,0.0095,-0.2051,-0.0078,-0.0704,2.8,8.8,-0.0103,0.0021,0.0287,-0.773,-0.0598,0.0004,-0.0141,-0.0011,-0.0098,0.0,0.0,0.0086,0.0016,0.0005
2026-08-27,785.0,785.0,765.0,775.0,29578500,-0.0078,-10.8,0.0,0.0152,0.002,0.0,0.159,0.0002,0.0188,0.0,0.0,-0.0101,-0.0497,0.0,0.001,0.0033,-0.0009,-0.0152,-0.0415,9.6,-0.085,0.0012,-0.0412,0.008,0.1765,0.1334,0.007,0.9139,0.0,-0.0008,0.0,0.0001,0.0,0.0,0.0
2026-08-28,800.0,805.0,780.0,790.0,36276000,0.1205,9.5,-0.0004,0.0001,-0.0015,-0.0002,0.0056,-0.0208,0.0109,-0.0199,-0.0,-0.0316,-0.815,-0.0795,-0.521,0.0007,-0.0088,-0.0182,0.1963,3.1,-14.6,-0.012,0.0299,-0.0011,1.3,0.008,-0.0033,1.9,-0.0001,0.0027,-0.0101,0.0,0.0,0.0,0.0
