Date,Close,High,Low,Open,Volume,AT,CP,PD,BQ,RO,ZP,NI,SQ,QA,XL,MG,GR,CC,KK,YJ,YP,XA,DH,XC,KI,EP,AZ,AG,OD
2026-08-24,108.0,109.0,106.0,106.0,522200,0.0,0.0,-0.0006,0.0,-0.0,0.0,0.0001,0.0,0.0,-0.007,0.0,0.0048,-0.0314,0.0004,0.0,-0.0001,0.0,0.0,0.0044,0.0,0.0,0.0,0.03,-0.0006
2026-08-26,107.0,110.0,107.0,108.0,542600,0.0,0.0,-0.0044,-0.0001,0.0,0.0,-0.0097,0.0011,0.0,0.0262,0.0,-0.0174,0.0024,-0.0023,0.0,-0.0046,0.0,-0.0003,-0.0049,0.0,0.0092,0.0049,0.0,0.0
2026-08-27,109.0,110.0,107.0,108.0,458800,0.0001,0.0,-0.0017,-0.0006,0.0,0.0,0.0,0.0,0.0,-0.0039,-0.0002,0.0001,0.0129,-0.0022,0.0,-0.0011,0.0,-0.0001,-0.0028,-0.0001,-0.0005,0.0,0.0,0.0
2026-08-28,109.0,111.0,105.0,109.0,1965800,0.0001,0.01,-0.0021,0.0038,0.0,-0.0195,0.0002,-0.0015,0.0,-0.0235,0.0053,0.087,0.0561,0.0024,0.0021,-0.1256,0.0011,-0.0,0.0042,0.0,0.0,0.0,0.0,0.0
