Date,Close,High,Low,Open,Volume,YU,CD,CC,HD,NI,DR,KK,LS,XC,GR,AZ,BB,PD,YJ,KZ,DH,PG,XA,AK,YP,AT,DX,XL,CP,OD,SQ,BQ,ZP,BK,EP,LG,TF,TP,AO,HP,QA,KI,AG,AI,YB,PC,IF,RX,RO
2026-08-24,278.0,286.0,278.0,284.0,7563900,0.0,0.0113,-0.3422,-0.0037,-0.4699,0.0,-0.0005,0.0,0.0244,-0.0006,0.0003,0.6176,0.1194,-0.1124,0.0,0.0042,0.0,0.0,-0.0437,0.0623,0.0,0.0,-0.122,-0.0331,-0.2492,0.0002,-0.0028,0.1016,0.0414,0.0004,-0.1755,0.0,0.0,0.0,0.0,0.0048,0.0157,0.0001,0.0338,-0.0028,0.0009,-0.0246,0.5394,0.0051
2026-08-26,278.0,282.0,276.0,280.0,6833400,0.2043,0.0,-0.3987,0.0027,0.0238,-0.0807,0.0002,0.0,-0.0008,-0.0004,0.0021,0.5458,0.0545,0.0,0.0,-0.0014,0.0,0.0,0.0818,-0.1456,0.0,0.2512,-0.3749,0.0,0.0621,0.0099,-0.2393,0.0002,-0.0417,0.0224,-0.0224,-0.0017,-0.056,0.0,0.0,0.0,0.0,0.0999,0.0028,0.0,0.0,0.0,0.0,0.0
2026-08-27,278.0,280.0,276.0,278.0,2033300,0.0,0.0,-0.0437,-0.0027,0.0314,0.0,0.0001,0.0017,0.02,-0.0012,-0.004,0.076,0.0173,0.0,0.0,0.0001,0.0,-0.0,0.0308,0.0544,0.0,-0.0181,-0.0985,-0.0111,0.0395,-0.0131,0.0,-0.0702,-0.0223,0.0,-0.0001,0.0007,-0.0007,0.0138,0.0001,-0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,278.0,284.0,276.0,280.0,5637500,0.0004,-0.0112,0.0046,0.0002,0.0006,0.0009,0.0003,-0.0017,-0.0376,0.049,-0.0002,0.0349,0.0502,-0.0104,-0.3499,-0.0008,0.0,0.0014,-0.097,0.9852,-0.0001,-0.1547,-0.2341,-0.026,-0.0209,0.0087,0.0001,-0.1314,-0.0604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
