Date,Close,High,Low,Open,Volume,TP,YB,XL,HD,LS,KZ,KK,SH,RS,DH,YU,IF,AI,XA,KI,ZP,YP,PC,CC,DX,BQ,PD,GR,OD,XC,AK,AT,YJ,DR,HP,IT,AO,LG,NI,AZ,CP,EP,AG,BK,RO,SQ,BS,FZ,BB,AR,MG,DD,CD,SF,ZR,PP,QA
2026-08-24,1210.0,1225.0,1205.0,1225.0,9452100,0.1169,0.0104,0.816,0.0,0.017,0.0,0.1191,0.0,0.0,0.2095,-1.7,-0.0682,0.0,0.0765,0.0006,-0.0055,0.6798,0.0,-0.556,0.0036,0.0057,0.8505,1.7,-0.0173,0.1752,-3.8,-0.0362,0.13,-0.525,0.0089,0.0605,-0.0182,-0.0484,0.9618,-0.4204,0.7239,-0.058,-0.0002,-1.1,0.0018,0.4787,0.0,0.0121,0.0,0.0,0.95,0.0,0.0,-0.0019,0.242,0.0,-0.005
2026-08-26,1205.0,1225.0,1200.0,1220.0,13527100,0.0364,-0.1553,-0.0746,0.0,0.2536,0.0,-1.3,0.0,0.0,0.2559,-0.8645,-0.0727,0.0096,-0.5577,0.0017,1.1,0.0015,0.0012,0.2336,-0.0254,0.0168,-0.0365,0.0681,-0.0475,0.1405,-0.7401,0.0499,0.0009,-0.2166,-0.0001,-0.0301,0.0,-0.0451,0.0426,0.0055,3.5,-0.1142,0.0006,-0.7406,0.001,-1.5,0.001,0.0,0.0,0.06,0.9998,0.0,0.0,0.0002,-0.246,-0.0278,0.0
2026-08-27,1220.0,1220.0,1190.0,1200.0,12756900,-0.0192,0.0181,-0.2271,0.0,0.0061,0.0,0.036,0.0,0.0,-0.2109,1.7,0.0,0.0002,-0.0874,0.0007,-2.0,-1.7,0.0024,-0.8308,-0.1125,-0.2865,-0.3102,3.5,1.2,-0.2367,-2.2,0.0076,-0.0031,-0.0634,0.0028,0.0,-0.3615,-0.0392,0.7971,-0.3867,1.5,-0.0037,-0.1211,-0.5309,0.0,0.2761,0.119,-0.024,0.6725,0.06,-0.1232,0.008,-0.0002,0.0,0.0,0.0,0.0
2026-08-28,1235.0,1240.0,1220.0,1220.0,23038200,-0.8506,0.0311,-0.8463,0.0314,-0.1174,0.0018,-0.7108,-0.0007,-0.0245,-0.2469,1.3,0.0024,0.0,-0.0259,0.0216,-0.3382,-1.1,0.1225,-2.9,-0.0154,-0.0253,-1.0,-0.0833,1.2,1.1,7.3,3.0,-0.0743,2.5,-0.0035,-0.0618,0.2227,-0.5809,-0.2835,0.0306,-5.5,-0.034,0.0484,-1.8,-0.0014,-0.2425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
